YYYYMMDD	Hour	Lat	Long	Baro	Dry	Wet
1943-01-01	01	51.88	-176.65	29.82	37.4	34.5
1943-01-01	02	51.88	-176.65	29.79	37.4	34.5
1943-01-01	03	51.88	-176.65	29.75	37.4	36.9
1943-01-01	04	51.88	-176.65	29.70	37.4	36.9
1943-01-01	05	51.88	-176.65	29.66	37.4	36.5
1943-01-01	06	51.88	-176.65	29.60	38.3	37.4
1943-01-01	07	51.88	-176.65	29.58	38.3	37.9
1943-01-01	08	51.88	-176.65	29.51	38.3	37.9
1943-01-01	09	51.88	-176.65	29.47	41.4	39.9
1943-01-01	10	51.88	-176.65	29.44	41.4	40.4
1943-01-01	11	51.88	-176.65	29.40	42.4	41.0
1943-01-01	12	51.88	-176.65	29.37	42.4	41.4
1943-01-01	13	51.88	-176.65	29.34	42.4	39.6
1943-01-01	14	51.88	-176.65	29.30	41.4	40.4
1943-01-01	15	51.88	-176.65	29.24	40.3	39.9
1943-01-01	16	51.88	-176.65	29.20	40.3	39.4
1943-01-01	17	51.88	-176.65	29.20	38.3	37.9
1943-01-01	18	51.88	-176.65	29.21	37.4	36.5
1943-01-01	19	51.88	-176.65	29.21	37.4	36.5
1943-01-01	20	51.88	-176.65	29.21	37.4	36.5
1943-01-01	21	51.88	-176.65	29.22	35.4	35.0
1943-01-01	22	51.88	-176.65	29.23	37.4	35.2
1943-01-01	23	51.88	-176.65	29.24	38.3	35.8
1943-01-01	24	51.88	-176.65	29.25	37.4	35.2
1943-01-02	01	51.88	-176.65	29.26	36.3	34.6
1943-01-02	02	51.88	-176.65	29.27	36.3	34.6
1943-01-02	03	51.88	-176.65	29.26	38.3	36.2
1943-01-02	04	51.88	-176.65	29.26	36.3	35.5
1943-01-02	05	51.88	-176.65	29.26	36.3	35.5
1943-01-02	06	51.88	-176.65	29.28	39.4	36.4
1943-01-02	07	51.88	-176.65	29.29	38.3	36.2
1943-01-02	08	51.88	-176.65	29.30	39.4	37.1
1943-01-02	09	51.88	-176.65	29.32	38.3	36.2
1943-01-02	10	51.88	-176.65	29.33	38.3	36.6
1943-01-02	11	51.88	-176.65	29.36	38.3	36.6
1943-01-02	12	51.88	-176.65	29.39	38.3	36.6
1943-01-02	13	51.88	-176.65	29.43	36.3	35.5
1943-01-02	14	51.88	-176.65	29.43	37.4	36.5
1943-01-02	15	51.88	-176.65	29.47	36.3	35.9
1943-01-02	16	51.88	-176.65	29.48	38.3	36.2
1943-01-02	17	51.88	-176.65	29.51	38.3	35.8
1943-01-02	18	51.88	-176.65	29.51	38.3	35.8
1943-01-02	19	51.88	-176.65	29.54	37.4	34.5
1943-01-02	20	51.88	-176.65	29.55	37.4	35.3
1943-01-02	21	51.88	-176.65	29.56	38.3	36.2
1943-01-02	22	51.88	-176.65	29.59	35.4	33.4
1943-01-02	23	51.88	-176.65	29.59	34.3	32.3
1943-01-02	24	51.88	-176.65	29.58	32.4	30.1
1943-01-03	01	51.88	-176.65	29.58	31.3	29.8
1943-01-03	02	51.88	-176.65	29.56	31.3	29.5
1943-01-03	03	51.88	-176.65	29.50	32.4	31.6
1943-01-03	04	51.88	-176.65	29.47	36.3	34.2
1943-01-03	05	51.88	-176.65	29.43	36.3	34.2
1943-01-03	06	51.88	-176.65	29.38	37.4	34.8
1943-01-03	07	51.88	-176.65	29.32	37.4	34.8
1943-01-03	08	51.88	-176.65	29.26	38.3	34.6
1943-01-03	09	51.88	-176.65	29.20	38.3	35.3
1943-01-03	10	51.88	-176.65	29.15	38.3	35.7
1943-01-03	11	51.88	-176.65	29.16	36.0	34.3
1943-01-03	12	51.88	-176.65	29.12	37.4	35.7
1943-01-03	13	51.88	-176.65	29.08	36.3	35.5
1943-01-03	14	51.88	-176.65	29.06	37.4	36.5
1943-01-03	15	51.88	-176.65	29.03	36.3	35.5
1943-01-03	16	51.88	-176.65	29.01	36.3	35.5
1943-01-03	17	51.88	-176.65	28.99	36.3	35.9
1943-01-03	18	51.88	-176.65	28.99	36.3	35.5
1943-01-03	19	51.88	-176.65	29.00	36.3	35.5
1943-01-03	20	51.88	-176.65	29.01	36.3	35.5
1943-01-03	21	51.88	-176.65	29.01	37.4	35.2
1943-01-03	22	51.88	-176.65	29.02	36.3	34.2
1943-01-03	23	51.88	-176.65	29.02	35.4	34.6
1943-01-03	24	51.88	-176.65	29.02	34.3	33.5
1943-01-04	01	51.88	-176.65	29.02	34.3	33.5
1943-01-04	02	51.88	-176.65	29.04	34.3	33.5
1943-01-04	03	51.88	-176.65	29.04	34.3	33.5
1943-01-04	04	51.88	-176.65	29.04	33.4	33.0
1943-01-04	05	51.88	-176.65	29.04	34.3	33.5
1943-01-04	06	51.88	-176.65	29.04	34.3	32.7
1943-01-04	07	51.88	-176.65	29.04	34.3	32.3
1943-01-04	08	51.88	-176.65	29.05	35.4	33.7
1943-01-04	09	51.88	-176.65	29.05	35.4	33.7
1943-01-04	10	51.88	-176.65	29.07	36.3	34.6
1943-01-04	11	51.88	-176.65	29.09	36.3	34.2
1943-01-04	12	51.88	-176.65	29.10	36.3	34.2
1943-01-04	13	51.88	-176.65	29.12	36.3	34.2
1943-01-04	14	51.88	-176.65	29.12	36.3	34.2
1943-01-04	15	51.88	-176.65	29.12	36.3	34.2
1943-01-04	16	51.88	-176.65	29.12	38.3	35.7
1943-01-04	17	51.88	-176.65	29.13	37.4	35.2
1943-01-04	18	51.88	-176.65	29.14	37.4	34.5
1943-01-04	19	51.88	-176.65	29.16	36.3	34.6
1943-01-04	20	51.88	-176.65	29.16	36.3	34.2
1943-01-04	21	51.88	-176.65	29.16	36.3	34.2
1943-01-04	22	51.88	-176.65	29.17	34.3	33.5
1943-01-04	23	51.88	-176.65	29.17	35.4	34.6
1943-01-04	24	51.88	-176.65	29.20	34.3	34.0
1943-01-05	01	51.88	-176.65	29.22	34.3	33.5
1943-01-05	02	51.88	-176.65	29.23	34.3	32.7
1943-01-05	03	51.88	-176.65	29.24	34.3	33.5
1943-01-05	04	51.88	-176.65	29.26	32.0	31.2
1943-01-05	05	51.88	-176.65	29.27	31.3	30.5
1943-01-05	06	51.88	-176.65	29.27	31.3	30.9
1943-01-05	07	51.88	-176.65	29.29	31.3	30.9
1943-01-05	08	51.88	-176.65	29.31	38.3	34.6
1943-01-05	09	51.88	-176.65	29.32	29.3	27.9
1943-01-05	10	51.88	-176.65	29.35	28.4	27.0
1943-01-05	11	51.88	-176.65	29.36	28.4	25.7
1943-01-05	12	51.88	-176.65	29.38	28.4	26.0
1943-01-05	13	51.88	-176.65	29.40	27.3	25.0
1943-01-05	14	51.88	-176.65	29.39	28.4	26.0
1943-01-05	15	51.88	-176.65	29.40	28.4	25.7
