YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1867-01-01	1	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		0	0	0	30.26	76	75	75	75	fm						
1867-01-01	2	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		360	360	2	30.26	76	75	75	75	fm		10				
1867-01-01	3	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		360	360	5	30.26	76	75	75	75	fm		10				
1867-01-01	4	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		360	360	5	30.26	76	75	75	75	fm		10				
1867-01-01	5	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		22	22	5	30.24	74	68	70	74	bc	cum	9				
1867-01-01	6	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		22	22	2	30.24	74	68	70	74	bc	cum	9				
1867-01-01	7	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		22	22	2	30.25	73	68	70	74	bc	cum	9				
1867-01-01	8	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	8AM: Anchored in Manila Harbor			14.519	120.77		22	22	2	30.27	73	68	70	74	bc	cum	9				
1867-01-01	9	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		360	360	2	30.29	75	71	73	74	bc	cum	9				
1867-01-01	10	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		292	292	2	30.29	76	71	75	74	bc	cum	9				
1867-01-01	11	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		292	292	2	30.29	77	72	76	75	bc	cum	9				
1867-01-01	12	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		270	270	2	30.27	78	74	77	75	bc	cum	9				
1867-01-01	13	14.52	120.77			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol04of46/ashuelot-vol04of46_0104.JPG	 			14.519	120.77		270	270	2	30.25	80	79	79	75	bcm	cir cum	9				
