YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships
1869-01-01	1	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 			32.74	129.87		360	357	2	30.51	39	39	36	56	o 	cum stra			
1869-01-01	1	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						360	357	2	30.51	39	39	36	56	o 	cum stra	2		
1869-01-01	3	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						360	357	2	30.51	38	38	36	56	o 	cum stra	4		
1869-01-01	4	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						360	357	2	30.52	38	38	36	56	o 	cum stra	1		
1869-01-01	5	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	2	30.52	40	40	37	56	os	cum	0		
1869-01-01	6	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						360	357	2	30.52	39	39	36	56	om	cum	2		
1869-01-01	7	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						360	357	2	30.52	38	36	40	56	bcm	cum	3		
1869-01-01	8	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	"0800: Nagasaki, Japan"						360	357	2	30.52	38	36	40	56	bcm	cum	3		
1869-01-01	9	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						888	888	2	30.54	48	45	40	54	bcms	cum nimb	3		
1869-01-01	10	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						0	0	2	30.54	46	46	45	54	bcms	cum nimb	3		
1869-01-01	11	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						0	0	2	30.53	46	46	45	54	bc	cum nimb	3		
1869-01-01	12	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						0	0	2	30.52	46	46	45	54	bc	cum nimb	3		
1869-01-01	13	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	6	30.50	48	46	45	57	og	cum nimb	0		
1869-01-01	14	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	6	30.50	48	46	45	57	og	cum nimb	1		
1869-01-01	15	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	10	30.50	48	45	45	57	og	cum nimb	2		
1869-01-01	16	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	10	30.50	48	45	45	57	og	cum nimb	2		
1869-01-01	17	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	5	30.51	47	45	45	56	og	cum nimb	1		
1869-01-01	18	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	5	30.51	46	44	44	56	og	cum nimb	1		
1869-01-01	19	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	5	30.51	45	43	44	56	oc	cum nimb	0		
1869-01-01	20	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	5	30.51	45	43	43	56	oc	cum nimb	0		
1869-01-01	21	32.74	129.87			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol11of46/ashuelot-vol11of46_0103.JPG	 						338	334	5	30.51	45	42	45	56	oc	cum nimb	1		
