YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Ships	Other
1874-01-01	1	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						360	357	2	30.18	58	39	37		oc	nimb	1		
1874-01-01	2	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						360	357	5	30.18	55	38	35		ocs	nimb	1		
1874-01-01	3	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						360	357	8	30.16	54	36	33		ocrs	nimb	1		
1874-01-01	4	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						360	357	8	30.15	50	36	34		ocs	nimb	1		
1874-01-01	5	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						360	357	10	30.13	50	34	34		ocs	nimb	1		
1874-01-01	6	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						360	357	10	30.12	50	34	32		ocs	nimb	1		
1874-01-01	7	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						360	357	10	30.11	50	33	32		ocs	nimb	1		
1874-01-01	8	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	0800: Yokohama						360	357	10	30.10	50	33	32		ocs	nimb	1		
1874-01-01	9	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						338	334	8	30.09	54	37	32		ocs	nimb	1		
1874-01-01	10	35.45	139.65			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol28of46/ashuelot-vol28of46_0034.JPG	 						338	334	8	30.09	54	35	32		ocs	nimb	1		
