YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1879-01-01	1	8.62	106.71	267.19		10.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	0120h: cc W b S (per standard)					W1/4S	23	25	27	30.07	78	75	70	76	bcmw	cum nimb	6				
1879-01-01	2	8.59	106.69			"6,4"		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG						W b S	23	25	27	30.07	78	76	71	77	bcmw	cum nimb	4				
1879-01-01	3	8.54	106.50	258.75		10.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	 					W b S	34	36	24	30.07	77	74	70	78	bczw	cum nimb	6				
1879-01-01	4	8.48	106.32	258.75		10.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	 					W b S	34	36	24	30.07	78	75	70	78	bczw	cum nimb	2				
1879-01-01	5	8.48	106.14	278.44		9.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	 					W3/4N	45	47	24	30.07	77	76	70	78	bcz	cir cum nimb	3				
1879-01-01	6	8.48	105.96	278.44		9.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	 					W3/4N	45	47	24	30.06	77	76	70	79	bcz	cir cum nimb	4				
1879-01-01	7	8.48	105.78	278.44		9.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	 					W3/4N	45	47	27	30.06	79	78	71	79	bcz	cir cum nimb	0				
1879-01-01	8	8.49	105.60	278.44		9.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	8AM: Passage from Manila to Bangkok					W3/4N	45	47	27	30.10	79	78	72	79	bcz	cir cum nimb	6				
1879-01-01	9	8.49	105.41	278.44		10.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	0900h: cc N b N					W3/4N	45	47	19	30.11	79	77	72	79	bcz	cir cum strat	8				
1879-01-01	10	8.50	105.23	281.25		10.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/ashuelot-vol38of46/ashuelot-vol38of46_0170.JPG	"1015h:  sighted low land on starboard bow 1045h sighted Pulo Obi one and a half points on Port bow, cc W1/2S"					W b N	360	2	19	30.13	78	77	72	79	bcz	cir cum strat	8				
