YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Ships
1941-06-22	1	51.68	-129.78	316	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0062.JPG	 					316	315	5	29.88	57	55		o	Scu		10	20	
1941-06-22	2	51.84	-130.04	316	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	0200: 343					343	315	5	29.88	57	55		o	Scu		10	20	
1941-06-22	3	52.07	-130.15	343	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	 					343	315	5	29.87	56	55		o	Scu		10	20	
1941-06-22	4	52.29	-130.27	343	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	0400: 341 T Determined gyro compass error as 2 deg west by an azimuth of the sun.					343	315	5	29.87	56	55		bc	Scu		7	20	
1941-06-22	5	52.51	-130.38	343	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	 					343	326.25	5	29.86	56	55		c	A-Cu		7	20	
1941-06-22	6	52.74	-130.49	343	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	 					343	326.25	5	29.86	57	56		c	A-Cu		7	20	
1941-06-22	7	52.96	-130.60	343	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	 					343	326.25	5	29.85	59	56		bc	CiCu		6	20	
1941-06-22	8	53.18	-130.72	343	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	 			53 11N	130 43W	343	326.25	5	29.85	59	57		c	CiCu		6	20	
1941-06-22	9	53.38	-130.87	343	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	 					343	0	0	29.84	68	63		c	CiCu		7	20	
1941-06-22	10	53.57	-131.03	343	 	14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/6742/23674296/content/dc-metro/rg-026/585454/0002/Atalanta-1941-06/Atalanta-1941-06-0061.JPG	1000: 348					348	0	0	29.82	75	67		c	CiCu		7	20	
