YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	From	Amount	VisM	Ships	Other
1943-01-01	1	50.94	-132.13	312		11.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	Note: These winds were not converted from Magnetic to True.			50.94	-132.13	312	315	5	29.9	44	41	bcz	st		4	7		
1943-01-01	2	51.07	-132.36	312		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	"Their courses and bearings are given as True, so I assume the dins are as well."			51.07	-132.36	312	315	5	29.9	43	41	orz	cun		10	2		
1943-01-01	3	51.2	-132.59	312		11.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	"Note: After 22 February, the positional data becomes quite vague, with only noon positions"			51.2	-132.59	312	315	5	29.91	42	40	bcz	st		4	4		
1943-01-01	4	51.34	-132.83	312		11.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	"logged, and only whole degrees are given. Generally these seem to be given to the nearest"			51.34	-132.83	312	303.75	5	29.92	42	40	cz	sc		6	7		
1943-01-01	5	51.46	-133.07	309		11.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	"degree, but there seem to be cases when they are truncated. So, 50 59N might be logged"			51.46	-133.07	309	315	5	29.91	42	39	c	sc		8	7		
1943-01-01	6	51.58	-133.31	309		11.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	as 50N or 51N.			51.58	-133.31	309	315	2	29.92	42	39	c	sc		9	20		
1943-01-01	7	51.69	-133.54	309		11.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	"There are some days when either no courses are given, or courses are just logged as V."			51.69	-133.54	309	315	2	29.92	43	39	c	sc		10	20		
1943-01-01	8	51.81	-133.77	309		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	"The data for this voyage have been saved, but only data up to 22 Feb have been calculated."			51.81	-133.77	309	315	2	29.92	42	39	c	sc		8	20		
1943-01-01	9	51.87	-133.93	300		11.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	 			51.87	-133.93	300	315	2	29.92	45	42	bc	sc		8	20		
1943-01-01	10	51.92	-134.06	300		10.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/7138/23713866/content/dc-metro/rg-026/587169/0002/Atalanta-1943-01/Atalanta-1943-01-0005.JPG	 			51.92	-134.06	300	315	2	29.92	51	45	bc	sc		7	20		
