YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Attd	Dry	Wet	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1944-01-01	1	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	"0000 to 0900: Portland, Oregon. Ships clocks keeping zone plus seven time."																			
1944-01-01	2	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 						0	0	29.54		51	51	R	nS		10	4			
1944-01-01	3	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 																			
1944-01-01	4	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 						225	2	29.54		52	51	R	nS		10	4			
1944-01-01	5	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 																7			
1944-01-01	6	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 						225	2	29.55		51	51	R	nS		10	7			
1944-01-01	7	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 																			
1944-01-01	8	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 						225	5	29.55		51	51	OD	NS	270	10	7			
1944-01-01	9	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 																			
1944-01-01	10	45.55	-122.70			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/12/7144/23714412/content/dc-metro/rg-026/587169/0002/Atalanta-1944-01/Atalanta-1944-01-0007.JPG	 						225	5	29.55		52	51	CD	SC	270	8	20			
