YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1945-01-01	1	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	8PM: CG Dock Ketchikan Alaska			55.333	-131.625															
1945-01-01	2	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625		0	0	0	30.28	37	36	o	NS		10	7			
1945-01-01	3	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625															
1945-01-01	4	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625		0	0	0	30.30	37	36	o	NS		10	7			
1945-01-01	5	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625															
1945-01-01	6	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625		0	0	0	30.32	36	35	o	NS		10	7	"0600: The following men were assigned as messment for the month of January (Authority Art. 1881 Regulations) Campbell Arthur. C (560-711) S1/c(R) Dahle, Norman C. (7012-863) S2/c(R); Smith William R. (588-225) S2/c(R)."		
1945-01-01	7	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625															
1945-01-01	8	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625		0	0	0	30.33	36	35	of	NS		10	7			
1945-01-01	9	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625															
1945-01-01	10	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/7149/23714914/content/dc-metro/rg-026/587169/0002/Atalanta-1945-01/Atalanta-1945-01-0005.JPG	 			55.333	-131.625		0	0	0	30.28	37	36	o	SC		10	20			
