YYYYMMDD	Hour	Lat	Long	 Course	PL	Distance	Ice_Log	Page	Note
1951-07-01	1							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	Noon: Deck Log - Title Page 
1951-07-01	2							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	3							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	4							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	5							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	6							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	7							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	8							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	9							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	10							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	11							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	12							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	Noon:  Charlestown, Mass Noon: Boston
1951-07-01	13							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	14							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	15							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
1951-07-01	16							https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/950/12095067/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1951-07/atka-agb-3-1951-07-0004.jpg	 
