YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Orig_Lat	Orig_Lon	Orig_Course
1952-01-14	8	41.57	-71.33					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0030.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	Narragansett Bay	41.57	-71.33	
1952-01-14	9	41.57	-71.33					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	9:58 underway	41.57	-71.33	
1952-01-14	10	41.57	-71.33					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg		41.57	-71.33	
1952-01-14	11	41.42	-71.23	130		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg		41.4193	-71.229	130
1952-01-14	12	41.27	-71.13	131		13.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg		41 16N	 71 08W	131
1952-01-14	13	41.11	-70.94	131		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg		41.1124	-70.9401	131
1952-01-14	14	40.95	-70.74	131		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg		40.9527	-70.7391	131
1952-01-14	15	40.81	-70.52	125		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg		40.8115	-70.5193	125
1952-01-14	16	40.67	-70.3	125		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg		40.6703	-70.3	125
1952-01-14	17	40.53	-70.08	124		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/953/12095349/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/atka-agb-3-1952-01/atka-agb-3-1952-01-0031.jpg		40.5324	-70.0782	124
