YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course
1888-05-26	1	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg		1 AM: San Francisco			37.72	-122.28	 
1888-05-26	2	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	3	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	4	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	5	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	6	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	7	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	8	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	9	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	10	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	11	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	12	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.72	-122.28	 
1888-05-26	13	37.72	-122.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg		1 PM: underway and steamed out of harbor.			37.72	-122.28	 
1888-05-26	14	37.82	-122.49	270		5.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg		2 PM: Point Bonita			37.82	-122.49	W
1888-05-26	15	37.84	-122.62	270		5.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.8435	-122.616	W
1888-05-26	16	37.88	-122.73	281.25		5.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.8835	-122.734	WxN
1888-05-26	17	37.92	-122.85	281.25		5.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					37.9236	-122.852	WxN
1888-05-26	18	37.96	-122.97	281.25		5.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg		6.10 PM: Point Reyes bearing NWxN 6.26 PM: Point Reyes bearing NxE			37.9636	-122.97	WxN
1888-05-26	19	38	-123.09	281.25		5.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					38.0037	-123.088	WxN
1888-05-26	20	38.04	-123.19	281.25		4.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg		8PM: The latitude and longitude directions added by transcriber			38 2 12 N	123 11 21 W	WxN
1888-05-26	21	38.07	-123.27	281.25		4.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					38.0716	-123.271	WxN
1888-05-26	22	38.1	-123.35	281.25		4.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/9192/6919208/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol067/26-159A-bear-vol067_007.jpg					38.1041	-123.347	WxN
