YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	Refueling
1913-01-01	1	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	2	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	3	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	4	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136		0	0	0	30.33	48	46	50	b		0	
1913-01-01	5	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	6	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	7	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	8	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136		0	0	0	30.40	46	45	50	bc	s	1	
1913-01-01	9	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	10	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	11	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	12	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	"Noon: Union Iron Works, San Francisco, Cal."			37.75965	-122.38136		338	356	5	30.51	64	58	50	bc	Ci.s	2	
1913-01-01	13	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	14	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	15	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	16	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136		0	0	0	30.50	66	65	50	bc	Ci	1	
1913-01-01	17	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	18	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	19	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	20	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136		0	0	0	30.50	54	52	50	b	'-	0	
1913-01-01	21	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	22	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	23	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136												
1913-01-01	24	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_005.jpg				37.75965	-122.38136		0	0	0	30.53	50	48	50	b	'-	0	
1913-01-02	1	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	2	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	3	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	4	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136		0	0	0	30.53	49	47	50	b	'-	0	
1913-01-02	5	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	6	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	7	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	8	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136		338	356	2	30.53	48	47	50	bc	s	2	
1913-01-02	9	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	10	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	11	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	12	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	"Noon: Union Iron Works, San Francisco, Cal."			37.75965	-122.38136		360	18	5	30.57	57	50	50	b	'-	0	
1913-01-02	13	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	14	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	15	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136												
1913-01-02	16	37.76	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/63/9192/6919263/content/arcmedia/dc-metro/rg-026/585454-noaa/bear/vol107/26-159A-bear-vol107_006.jpg				37.75965	-122.38136		360	18	5	30.51	67	61	50	b	'-	0	
