YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount
1914-01-01	1	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	2	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						225	243	2	29.96	54	54	50	bc	Cu	3
1914-01-01	3	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	4	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						225	243	2	29.96	54	54	50	bc	Cu	1
1914-01-01	5	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	6	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						180	198	5	29.98	56	56	50	bc	Cu-N	4
1914-01-01	7	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	8	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						180	198	5	29.99	56	56	50	oc	Cu-N	10
1914-01-01	9	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	10	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						158	176	2	29.99	59	57	50	bc	S	9
1914-01-01	11	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	12	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	Noon: Sausalito						158	176	2	29.99	59	57	50	bc	S	9
1914-01-01	13	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	14	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						158	176	2	29.96	59	57	50	bc	S-Cu	9
1914-01-01	15	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	16	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						158	176	2	29.94	61	60	50	oc	S	10
1914-01-01	17	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	18	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						169	187	5	29.94	58	57	50	ocr	n	10
1914-01-01	19	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	20	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						169	187	8	29.93	57	56	50	ocqr	n	10
1914-01-01	21	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	22	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						158	176	19	29.92	56	55	50	ocqr	n	10
1914-01-01	23	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 															
1914-01-01	24	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0007.JPG	 						158	176	24	29.85	56	55	50	ocq	n	10
1914-01-02	1	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	2	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						180	198	24	29.82	55	55	50	ocqr	n	10
1914-01-02	3	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	4	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						225	243	30	29.84	54	54	50	ocqr	n	10
1914-01-02	5	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	6	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						158	176	19	29.86	52	52	50	ocqr	n	10
1914-01-02	7	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	8	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						158	176	8	29.86	53	53	50	ocrd	n	10
1914-01-02	9	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	10	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						180	198	13	29.91	53	51	50	bc	Cu-N	9
1914-01-02	11	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	12	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	Noon: Sausalito						180	198	13	29.93	55	52	50	bc	S-Cu	9
1914-01-02	13	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
1914-01-02	14	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 						180	198	13	29.94	55	53	50	bc	S-Cu	9
1914-01-02	15	37.87	-122.49					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/6956/23695631/content/dc-metro/rg-026/585454/0002/Bear-b355/Bear-b355_0008.JPG	 															
