YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	Other
1920-05-09	1	48.11	-122.76			a		303	304	Port Townsend			48.11	-122.76												
1920-05-09	2	48.11	-122.76			a		303	304				48.11	-122.76		315	339	8	29.92	46	44	58	bc	A Cu	9	
1920-05-09	3	48.11	-122.76			a		303	304				48.11	-122.76												
1920-05-09	4	48.11	-122.76			a		303	304				48.11	-122.76		0	0	0	29.92	42	39	58	bc	A Cu	5	
1920-05-09	5	48.11	-122.76			a		303	304				48.11	-122.76												
1920-05-09	6	48.16	-122.78	v		3		303	304	0610 underway around Pt Hudson. 0645 abeam Pt Wilson dist 0.8 mi. cc 289.			48.16	-122.78	v	0	0	0	29.92	46	44	58	bc	Ci S	5	
1920-05-09	7	48.19	-122.82	289		2.2		303	304	0730 Partridge Bank Buoy abeam dist 2.8 mi cc 294.			48.19	-122.82	289	270	294	5	29.92	46	44	58	bc	Ci S	4	
1920-05-09	8	48.3	-122.96	294		8.3		303	304	Smith Is Lt brg 50 dist 5 mi cc 294. 0830 cc 312. 0855 Hein Buoy abeam cc 315			48.3	-122.96	294	270	294	5	29.92	47	45	58	bc	Ci S	5	
1920-05-09	9	48.38	-123.06	312		7		303	304	0945 Discovery Is Lt abeam dist 4 mi.			48.38	-123.06	312	270	294	5	29.94	48	46	48	bc	Ci S	9	
1920-05-09	10	48.48	-123.17	315		8.8		303	304	1052 Kelp Reef Lt abeam cc 327			48.48	-123.17	315	0	0	0	29.94	48	47	48	bc	Ci S	9	
1920-05-09	11	48.59	-123.23	327		8.6		303	304				48.59	-123.23	327	0	0	0	29.94	52	49	48	bc	Ci S	9	
1920-05-09	12	48.7	-123.26	335		8.3		303	304	"Turn Pt, brg 83 1 mi. cc 335"			48.7	-123.26	335	0	0	0	29.95	57	49	48	bc	Ci	8	
1920-05-09	13	48.83	-123.34	335		8		303	304	1305 Portlock Lt abeam cc 272			48.83	-123.34	335	0	0	0	29.95	57	49	48	bc	S	8	
1920-05-09	14	48.89	-123.47	272		8		303	304	1405 294. 1425 cc 302.			48.89	-123.47	272	0	0	0	29.94	53	50	48	bc	s	6	
1920-05-09	15	48.97	-123.59	297		6.9		303	304	1515 Reid Is abeam. 1535 cc var			48.97	-123.59	297	0	0	0	29.92	52	51	48	bc	s	8	
1920-05-09	16	49.01	-123.73	v		7		303	304	1655 moored Canadian Colleries Dunsmuir Co. Ltd coal dock			49.01	-123.73	v	0	0	0	29.92	52	51	48	bc	s	9	
1920-05-09	17	49	-123.81	v		5		303	304				49	-123.81	v											
1920-05-09	18	49	-123.81			a		303	304				49	-123.81		0	0	0	29.90	54	51	48	bc	Cu	9	
1920-05-09	19	49	-123.81			a		303	304				49	-123.81												
1920-05-09	20	49	-123.81			a		303	304	Ladysmith			49	-123.81		0	0	0	29.84	54	51	48	oc	S	10	
1920-05-09	21	49	-123.81			a		303	304				49	-123.81												
1920-05-09	22	49	-123.81			a		303	304				49	-123.81		0	0	0	29.84	55	52	48	b			
1920-05-09	23	49	-123.81			a		303	304				49	-123.81												
1920-05-09	24	49	-123.81			a		303	304				49	-123.81		0	0	0	29.86	55	54	48	b			
1920-05-10	1	49	-123.81			a		305	306				49	-123.81												
1920-05-10	2	49	-123.81			a		305	306				49	-123.81		0	0	0	29.88	54	53	48	oc	Cu	10	
1920-05-10	3	49	-123.81			a		305	306				49	-123.81												
1920-05-10	4	49	-123.81			a		305	306				49	-123.81		0	0	0	29.84	55	54	48	oc	S	10	
1920-05-10	5	49	-123.81			a		305	306				49	-123.81												
1920-05-10	6	49	-123.81			a		305	306				49	-123.81		0	0	0	29.84	54	53	48	b			
1920-05-10	7	49	-123.81			a		305	306				49	-123.81												
1920-05-10	8	49	-123.81			a		305	306				49	-123.81		0	0	0	29.86	48	46	48	b			
1920-05-10	9	49	-123.81			a		305	306				49	-123.81												
1920-05-10	10	49	-123.81			a		305	306				49	-123.81		0	0	0	29.92	53	49	48	bc	Ci	7	
1920-05-10	11	49	-123.81			a		305	306				49	-123.81												
1920-05-10	12	49	-123.81			a		305	306	Ladysmith			49	-123.81		45	69	2	29.98	57	52	48	bc	Ci	6	
1920-05-10	13	49	-123.81			a		305	306				49	-123.81												
1920-05-10	14	49	-123.81			a		305	306				49	-123.81		315	339	2	29.98	60	55	48	bz		0	
1920-05-10	15	49	-123.81			a		305	306				49	-123.81												
1920-05-10	16	49	-123.81			a		305	306				49	-123.81		315	339	2	30.00	74	66	48	bz		0	
1920-05-10	17	49	-123.81			a		305	306				49	-123.81												
1920-05-10	18	49	-123.81			a		305	306				49	-123.81		315	339	2	30.00	75	68	48	bz		0	
1920-05-10	19	49	-123.81			a		305	306				49	-123.81												
1920-05-10	20	49	-123.81			a		305	306				49	-123.81		0	0	0	29.98	54	49	48	bc	S	4	
1920-05-10	21	49	-123.81			a		305	306				49	-123.81												
1920-05-10	22	49	-123.81			a		305	306				49	-123.81		0	0	0	29.96	49	47	48	b		0	
1920-05-10	23	49	-123.81			a		305	306				49	-123.81												
1920-05-10	24	49	-123.81			a		305	306				49	-123.81		0	0	0	29.94	46	45	48	b		0	
1920-05-11	1	49	-123.81			a		307	308				49	-123.81												
1920-05-11	2	49	-123.81			a		307	308				49	-123.81		0	0	0	29.98	44	43	38	bc	Ci	4	
1920-05-11	3	49	-123.81			a		307	308				49	-123.81												
1920-05-11	4	49	-123.81			a		307	308				49	-123.81		0	0	0	30.00	43	42	48	bc	Ci	8	
1920-05-11	5	49	-123.81			a		307	308				49	-123.81												
1920-05-11	6	49	-123.81			a		307	308				49	-123.81		0	0	0	30.08	45	43	48	bc	Ci	6	
1920-05-11	7	49	-123.81			a		307	308				49	-123.81												
1920-05-11	8	49	-123.81			a		307	308				49	-123.81		0	0	0	30.10	50	48	48	bc	Ci	5	
1920-05-11	9	49	-123.81			a		307	308				49	-123.81												
1920-05-11	10	49	-123.81			a		307	308				49	-123.81		0	0	0	30.10	55	52	48	bc	A Cu	4	
1920-05-11	11	49	-123.81			a		307	308				49	-123.81												
