YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	Ships	Other
1925-01-01	1	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29																
1925-01-01	2	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29																
1925-01-01	3	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29																
1925-01-01	4	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29		0	0	0	30.21	48	48		bc	SCu		7				
1925-01-01	5	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29																
1925-01-01	6	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29																
1925-01-01	7	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29																
1925-01-01	8	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29		315	333	2	30.26	48	48		bz	S		4				
1925-01-01	9	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29																
1925-01-01	10	37.79	-122.29			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/17/7007/23700717/content/dc-metro/rg-026/585454/0002/Bear-b362-1925/Bear-b362-1925-0002.jpg	 			37.79	-122.29																
