YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Attd	Dry	Wet	TSI	SeaT	Weather	Low	Mid	High	Ceil	From	Amount	VisM	People	Ships	Other
1947-01-01	1	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0004.jpg	"Top of Page: Berth 57, Naval Supply Depot, San Pedro, California : San Pedro Comment: Entry does not relate to any hour"			33.72	-118.27		240	2							0				99		1	4			
1947-01-01	2	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		220	2							0				99		1	4			
1947-01-01	3	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		220	2							0				99		1	4			
1947-01-01	4	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		200	1							0				99		1	4			
1947-01-01	5	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		220	1							0				99		1	4			
1947-01-01	6	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		240	2							0				99		1	7			
1947-01-01	7	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		220	2							0				99		1	7			
1947-01-01	8	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		165	2							0				99		1	7			
1947-01-01	9	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		195	7							0	cu			99	240	1	7			
1947-01-01	10	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		195	7							0	cu			99	240	1	7			
1947-01-01	11	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		195	8							0	cu			99	240	1	7			
1947-01-01	12	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		95	6							0	cu			99	240	1	7			
1947-01-01	13	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		100	9							0	cu			99		1	7			
1947-01-01	14	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		110	7							0		st		99		1	7			
1947-01-01	15	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		110	8							0				99		1	7			
1947-01-01	16	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		100	9							0				99		1	7			
1947-01-01	17	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		140	7							0				99		1	7			
1947-01-01	18	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		140	5							0				99		1	7			
1947-01-01	19	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		190	0							0				99		1	7			
1947-01-01	20	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		190	5							1		ac		99		4	7			
1947-01-01	21	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		170	6							1		ac		99		4	7			
1947-01-01	22	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		210	10							1		ac		99		4	7			
1947-01-01	23	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		245	5							1		ac		99		4	7			
1947-01-01	24	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0003.jpg	 			33.72	-118.27		245	4							1		ac		99		1	7			
1947-01-02	1	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0006.jpg	 			33.72	-118.27		310	9							0				0						
1947-01-02	2	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	 			33.72	-118.27		300	6							0				0						
1947-01-02	3	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	 			33.72	-118.27		300	7							0				0						
1947-01-02	4	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	 			33.72	-118.27		235	10							0				0						
1947-01-02	5	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/18/7948/7794818/content/arcmedia/dc-metro/594258-navy-deck-logs/batch-y/burton-island-agb-1-1947-01/burton-island-agb-1-1947-01-0005.jpg	 			33.72	-118.27		235	8							0				0						
