YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Attd	Dry	Wet	Water	SeaT	Weather	Low	Mid	High	Ceil	From	Amount	VisM	People	Ships	Other
1948-01-01	1	-66.16	94.36	90		14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0005.jpg	"Note: When in heavy ice, I reduce the logged speeds to be 30-50% of the posted value. They aren't making 12-14 knots in heavy ice."			-66.16	94.36	90.00	89	43	29.01		29	28	30	30	70	ns			4	89	9	4			
1948-01-01	2	-66.09	94.96	90		14.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 					90.00	100	29	29.03		30	29	30	30	83	ns			6	100	9	5			
1948-01-01	3	-66.06	95.55	100		13.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 					100.00	103	31	29.04		30	29	30	30	2	stsc	as		4	100	8	6			
1948-01-01	4	-66.04	95.28	245		7.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	"0405: Steering various courses and speeds approaching anchorage.  0408 Anchored off Shackleton Ice Shelf, Antarctica.  Position 95 -17'E; 66 -13' -02!S "			95 17E	66 02 13S	245.00	100	25	29.09		30	29	30	30	3	stsc	as		4	100	10	6			
1948-01-01	5	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						105	21	29.08		30	29	30		3	stsc	as		5	100	10	6			
1948-01-01	6	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						119	19	29.08		30	29	30		3	stsc	as		5	100	10	6			
1948-01-01	7	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						100	23	29.07		29	28	30		3	stsc			10	100	10	6			
1948-01-01	8	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						93	20	29.07		31	30	32		3	scst			10	100	10	7			
1948-01-01	9	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						130	20	29.07		31	30	32		2	scst			10	130	9	7			
1948-01-01	10	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						140	15	29.06		30	29	32		2	scst		cc	10	140	9	7			
1948-01-01	11	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						120	16	29.05		29	28	32		2	scst			10	120	9	7			
1948-01-01	12	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						118	20	29.04		29	28	32		2	scst			10	120	8	7			
1948-01-01	13	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						135	15	29.03		32	30	32			scst		ci	15	130	7	7			
1948-01-01	14	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						145	11	29.03		32	30	32			scst		ci	15	145	7	7			
1948-01-01	15	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						145	11	29.03		32	30	32		2	scst		ci	15	145	7	7			
1948-01-01	16	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						130	12	29.02		33	30	32		2	scst		ci	20	130	7	7			
1948-01-01	17	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						135	12	29.02		35	31	32		2	scst		ci	20	135	7	7			
1948-01-01	18	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						160	9	29.01		35	32	32		2	sc		ci	30	160	8	7			
1948-01-01	19	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						175	10	29.01		35	32	32		2	sc	as	cs	80	175	8	7			
1948-01-01	20	-66.04	95.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/984/12098489/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1948-01/burton-island-agb-1-1948-01-0004.jpg	 						185	11	29.00		36	33	32		2	sc	as	cs	45	185	6	9			
