YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	Water	SeaT	Weather	Low	Mid	High	Ceil	From	Amount	VisM	Ships	Other
1949-01-01	1	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0005.jpg	": Naval Supply Depot, San Pedro, California"						270	3	30.10	59	58			40				4	270	10	0.25		
1949-01-01	2	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	 						270	3	30.10	54	52			40				4	270	10	0.25		
1949-01-01	3	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	 						270	3	30.10	51	50			40				5	270	10	0.25		
1949-01-01	4	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	 						270	2	30.09	49	49			40				5	270	10	0.25		
1949-01-01	5	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	500: Retarded ship's clocks one hour to conform to zone plus 8 time.						270	2	30.09	49	49			40				5	270	10	0.25		500: Retarded ship's clocks one hour to conform to zone plus 8 time.
1949-01-01	6	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	 						230	2	30.09	49	49			40				5	230	10	0.25		
1949-01-01	7	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	 						200	2	30.09	49	49			40				5	200	10	0.25		
1949-01-01	8	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	 						200	2	30.09	49	49			40				6	200	10	0.25		
1949-01-01	9	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	 						200	2	30.09	50	49			40				6	200	10	0.25		
1949-01-01	10	33.72	-118.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/993/12099325/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1949-01/burton-island-agb-1-1949-01-0004.jpg	 						210	2	30.10	50	50			40				6	210	10	0.25		
