YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	Weather	Low	Mid	High	Ceil	From	Amount	VisM	Flora&Fauna	Ships	Other
1950-01-01	1	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0004.jpg	 						325	2	30.02	57	56	40						10	0.1			
1950-01-01	2	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	3	30.00	56	55	40						10	0.1			
1950-01-01	3	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	3	30.02	57	56	40						10	0.1			
1950-01-01	4	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	3	30.03	53	52	40						10	0.1			
1950-01-01	5	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	3	30.04	50	49	40						10	0.1			
1950-01-01	6	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	3	30.05	50	49	40						10	0.1			
1950-01-01	7	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	3	30.07	50	49	49						9	2			
1950-01-01	8	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	3	30.09	54	51	2						9	4			
1950-01-01	9	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	2	30.10	62	61	2	cu				150	9	2			
1950-01-01	10	33.76	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/33/1001/12100133/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1950-01/burton-island-agb-1-1950-01-0003.jpg	 						325	3	30.12	62	61	2	cu				150	9	2			
