YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	TSI	Weather	Low	Mid	High	Ceil	From	Amount	VisM	People	Ships	Other
1954-01-01	1	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						70	2	30.1	47	47		0				NC	70	0	7			
1954-01-01	2	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						70	2	30.1	45	44		0				NC	70	0	7			
1954-01-01	3	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						70	2	30.1	44	43		0				NC	70	0	7			
1954-01-01	4	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						70	2	30.1	43	41		0				NC	70	0	7			
1954-01-01	5	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						60	3	30.09	42	40		3	 CB/ST			30	60	9	4			
1954-01-01	6	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						70	5	30.1	43	41		3	 CB/ST			30	70	9	4			
1954-01-01	7	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.1	49	47		3	 CB/ST			30	345	9	4			
1954-01-01	8	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.1	49	47		3	 CB/ST			30	345	9	4			
1954-01-01	9	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.14	50	49		3	 CB/ST			30	345	9	4			
1954-01-01	10	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.14	51	60		3	 CB/ST			30	345	9	4			
1954-01-01	11	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.14	61	60		3	 CB/ST			30	345	9	4			
1954-01-01	12	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.14	61	60		3	 CB/ST			30	345	9	4			
