YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Clouds	From	Amount	VisM	Flora&Fauna	People	Ships	Other
1929-04-19	1	51.36	-130.9	290		12.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	 			51.36	-130.9	290	360	27	24	29.60	46	cc	ci	360	4	50				
1929-04-19	2	51.44	-131.24	290		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	 			51.44	-131.24	290	360	27	24	29.60	46	cc	ci	360	2	50				
1929-04-19	3	51.51	-131.55	290		12.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	"0328: Cape St James lt 20p 23mi, cc 317P "			51.51	-131.55	290	360	27	5	29.60	46	cc	ci	360	2	50				
1929-04-19	4	51.66	-131.78	317		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	 			51.66	-131.78	317	360	27	5	29.62	45	bc	ci	360	3	50				
1929-04-19	4	51.66	-131.78	317		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	 			51.66	-131.78	317	360	27	5	29.63	44	bc	ci	360	3	50				
1929-04-19	5	51.81	-132.01	317		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	0500: Clocks back 1ht +9			51.81	-132.01	317	360	27	8	29.64	44	bc	ci	360	3	50				
1929-04-19	6	51.97	-132.24	317		12.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	 			51.97	-132.24	317	360	27	13	29.64	44	bc	ci	360	3	50				
1929-04-19	7	52.11	-132.47	317		12.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	 			52.11	-132.47	317	360	27	19	29.64	45	bc	ci	360	3	50				
1929-04-19	8	52.27	-132.7	317		12.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	 			52.27	-132.7	317	360	27	19	29.64	45	bc	ci s	360	3	50				
1929-04-19	9	52.41	-132.95	317		12.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/6750/23675057/content/dc-metro/rg-026/585454/0002/Chelan-1929-04/Chelan-1929-04-0025.JPG	 			52.41	-132.95	317	360	27	19	29.68	46	bc	cu		4	50				
