YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Clouds	From	Amount	VisM	Flora&Fauna	People	Ships
1930-02-27	1	48.78	-125.93	294		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	 			48.7831	-125.9337	294	0	0	0	30.17	46	b				50			
1930-02-27	2	48.87	-126.23	294		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	 			48.8712	-126.2344	294	0	0	0	30.17	46	b				50			
1930-02-27	3	48.96	-126.54	294		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	 			48.9594	-126.5356	294	0	0	0	30.17	45	b				50			
1930-02-27	4	49.05	-126.84	294		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	 			49.0475	-126.8374	294	0	0	0	30.16	45	b				50			
1930-02-27	5	49.14	-127.14	294		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	 			49.1356	-127.1398	294	315	340		30.16	45	bc	ci s		3	50			
1930-02-27	6	49.22	-127.44	294		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	 			49.2237	-127.4426	294	315	340	5	30.16	45	bc	ci s		3	50			
1930-02-27	7	49.31	-127.75	294		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	 			49.3119	-127.746	294	315	340	5	30.16	45	bc	ci cu		3	50			
1930-02-27	8	49.4	-128.05	294		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	0800: 300T			49 24N	128 3W	294	315	340	5	30.16	45	bc	s cu		4	50			
1930-02-27	9	49.52	-128.35	301		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0033.JPG	0900: Clocks back 1hr					301	315	340	5	30.17	49	bc	cu		3	50			
1930-02-27	9	49.64	-128.65	301		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23675481/content/dc-metro/rg-026/585454/0002/Chelan-1930-02/Chelan-1930-02-0003.JPG						301	315	340	5	30.17	55	bc	cu		3	50			
