YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Clouds	Amount	VisM	People	Ships	Other
1931-05-16	1	53.01	-128.51			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	"0000-0400: Anchored as before in Swanson Bay, British Columbia"			53.012	-128.512												Top of Page: S.S. Princess Mary S.S. Cardena Yacht Sue~a III of Seattle	
1931-05-16	2	53.01	-128.51			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	 			53.012	-128.512													
1931-05-16	3	53.01	-128.51			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	0341: Got Underway. Weighted anchore and stood hour of Swanson Bay and up Graham Reach  cc var.			53.01	-128.51													
1931-05-16	4	53.08	-128.56	888		5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	 			53.08	-128.56	v	90	118	2	29.58	58	orz	N	10	7			
1931-05-16	5	53.25	-128.84	311		16		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	0546: Pt. Cunning 0.3 mi. on the starboard beam cc 297 gyro   Standing across Wright Sound			53.25	-128.84	311	45	73	2	29.58	58	cz	SCU	9	20			
1931-05-16	6	53.34	-129.23	297		16		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	0615: Camp Pt. 0.3 mi. on the starboard beam standing up Grenville Channel cc var.			53.34	-129.23	297	45	73	2	29.58	58	cz	SCU	9	20			
1931-05-16	7	53.51	-129.56	315		16		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	 			53.51	-129.56	315	45	73	2	29.58	58	cz	SCU	9	20			
1931-05-16	8	53.73	-129.83	315		16.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	"0846: cc 300 gyro  0855 Watson Rock Lt. atp. dist. 0.5 mi.  cc 345 gyro 8AM: Off East Inlet Grenville Channel, B.C."			53.73	-129.83	315	45	73	2	29.60	58	c	CU	9	20			
1931-05-16	9	53.96	-130.16	345		18		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	0914: cc 314 gyro 0930 cc 300 gyro  0940 Sawyer Is. Lt. ats. dist. 1 mi.  cc 325 gyro			53.96	-130.16	345	135	163	2	29.60	61	OR	SCU	9	20			
1931-05-16	10	54.19	-130.47	325		18		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	1030: Lucy Is. Lt. atp. dist. 1 mi. cc 2 gyro			54.19	-130.47	325	135	163	2	29.60	64	c	SCU	9	7			
1931-05-16	11	54.45	-130.58	2		17		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	1135: Pointers Rock ats. dist. 1.5 mi. cc 42 gyro			54.45	-130.58	2	135	163	2	29.60	64	c	SCU	9	50			
1931-05-16	12	54.69	-130.4	19		16		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	"1238: Lizard Pt. Lt. abm.  cc 26 gyro  Noon: Off Wales Is., Portland Canal"			54.694	-130.398	19	135	163	2	29.60	64	c	SCU	9	50			
1931-05-16	13	54.94	-130.15	26		17		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676113/content/dc-metro/rg-026/585454/0002/Chelan-1931-05/Chelan-1931-05-0022.JPG	1305: Portland Pt. abm. cc 342 gyro 1314 cc 345 gyro 1323 True Pt. abm.  cc 208 gyro 1343 cc 215 gyro 1350 cc 225 gyro 1352 cc var. entering Hidden Inlet			54.94	-130.15	26	0	0	0	29.58	64	c	SCU	7	50			
