YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	Amount	VisM	People	Ships
1932-05-17	1	52.14	-128.14			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0026.JPG	"0100: McLoughlin Bay. Brgs: Story Pt 13, Napier Pt 168, Village 263T."																	
1932-05-17	2	52.14	-128.14			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	 																	
1932-05-17	3	52.14	-128.14			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	 																	
1932-05-17	4	52.14	-128.14			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	"0400: Got Underway 0400: 0430 cc 311. 0440 cc var. 0455 Idol Pt 1 mi ats, cc 279."						90	117	1	29.95	43	40	c	s cu	8	50		
1932-05-17	5	52.24	-128.22	347		4.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	0513: cc var.						90	117	1	29.96	44	42	c	as	8	50		
1932-05-17	6	52.46	-128.44	28		16.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	 						90	117	1	29.96	44	42	c	as	8	50		
1932-05-17	7	52.75	-128.55	316		16.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	 						45	72	1	29.98	44	42	c	as	8	50		
1932-05-17	8	53	-128.52	355		16.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	"0808: Swanson Bay 0.5 mi ats, cc 342. 0830 Aaltanhash Inlet 0.5 mi ats cc 332. 0844 Red Cliff Pt 0.5 mi atp, cc 285. 0852 Work Id 0.5 mi ats, cc 311."						45	72	1	29.98	44	43	c	as	8	50		
1932-05-17	9	53.2	-128.75	331		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	0920: cc 323. 0931 Kingcomb Pt 0.5 mi atp cc 278. 0950 Trivet Pt 0.5 mi atp cc 260.						135	162	2	29.97	51	47	c	as	7	20		
1932-05-17	10	53.31	-129.14	294		14.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23676679/content/dc-metro/rg-026/585454/0002/Chelan-1932-05/Chelan-1932-05-0025.JPG	1000: Pt Cumming 0.5 mi ats cc 295.						135	162	2	29.97	57	51	c	a cu	6	20		
