YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	VisM	Flora&Fauna	People	Ships	Other
1934-07-19	1	48.48	-124.83	286		13.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	0127: Swiftsure Lt brg 20 doist .5 mi cc 294.			48.48	-124.83	286	315	339	13	29.87	54	53	53	bc	ci	9	50				
1934-07-19	2	48.58	-125.15	293		13.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			48.575	-125.152	293	315	339	13	29.85	53	52	54	bc	s cu	6	50				
1934-07-19	3	48.67	-125.48	293		14		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			48.671	-125.478	293	315	339	13	29.84	53	52	54	bc	s cu	6	50				
1934-07-19	4	48.77	-125.8	293		13.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			48.766	-125.803	293	315	339	8	29.89	53	52	54	c	s cu	7	50				
1934-07-19	5	48.86	-126.13	293		13.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			48.862	-126.129	293	315	339	5	29.88	56	55	54	c	cu n	8	20				
1934-07-19	6	48.96	-126.46	293		13.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			48.957	-126.455	293	270	294	5	29.88	58	57	54	c	cu n	8	20				
1934-07-19	7	49.05	-126.78	293		13.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			49.053	-126.782	293	270	294	5	29.88	58	57	54	op	cu n	10	20				
1934-07-19	8	49.15	-127.12	293		14.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			 49 9N	 127 7W	293	270	294	2	29.89	58	57	54	o	cu	10	20				
1934-07-19	9	49.3	-127.6	293		21		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	0900: Set clocks back one half hour to conform with 127o30W meridian time.			49.301	-127.604	293	248	272	2	29.87	57	56	54	op	n	10	50				
1934-07-19	10	49.41	-127.93	293		14.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			49.406	-127.93	293	304	328	8	29.86	58	58	54	cp	cu n	9	20				
1934-07-19	11	49.51	-128.26	293		14		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			49.511	-128.255	293	304	328	13	29.87	62	57	54	cp	ci cu	7	50				
1934-07-19	12	49.62	-128.58	293		14.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			49 37N	128 35W	293	292	316	13	29.88	61	56	56	c	ci cu	6	50				
1934-07-19	13	49.71	-128.9	293		13.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			49.705	-128.899	293	292	316	13	29.88	61	56	58	c	ci cu	7	50				
1934-07-19	14	49.79	-129.22	293		14		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			49.794	-129.218	293	292	316	13	29.84	60	56	56	c	a cu	7	20				
1934-07-19	15	49.88	-129.54	293		14.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			49.884	-129.54	293	270	294	13	29.82	57	56	56	c	a cu	8	20				
1934-07-19	16	49.97	-129.86	293		13.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	1627: cc 292			49.972	-129.855	293	292	316	19	29.82	57	55	56	c	a cu	6	50				
1934-07-19	17	50.05	-130.16	292		13.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			50.052	-130.156	292	292	316	19	29.90	58	55	56	c	a cu	7	20				
1934-07-19	18	50.13	-130.43	292		12.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			50.126	-130.434	292	315	339	19	29.89	58	56	56	c	a cu	8	20				
1934-07-19	19	50.2	-130.7	292		11.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			50.196	-130.7	292	338	2	19	29.89	57	55	56	c	a cu	7	20				
1934-07-19	20	50.27	-130.97	292		11.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23677813/content/dc-metro/rg-026/585454/0002/Chelan-1934-07/Chelan-1934-07-0027.JPG	 			50 16N	130 58W	292	338	2	19	29.93	57	55	56	c	a cu	7	20				
