YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	VisM	People	Ships	Other
1935-06-22	1	52.14	-128.14			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0038.JPG	"0100: McLoughlin Bay, B. C. Brgs: Napier Pt Lt 154; Story Pt 17; R tan on point opposite Story Pt 354."			52.13921	-128.13985		0	0	0	29.97	51	50		c	ci-cu	7	50			
1935-06-22	2	52.14	-128.14			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 			52.13921	-128.13985		0	0	0	29.96	51	50		c	ci-cu	8	50			
1935-06-22	3	52.14	-128.14			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"0302: Got Underway. cc var. 0355 Idol Pt Lt atp brg 197, dist 0.4 mi."			52.13921	-128.13985		0	0	0	29.96	51	50		c	ci-cu	7	50			
1935-06-22	4	52.25	-128.3	277		11.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"0417: Ivory Is ats, dist 0.7 mi, cc 315T, 316G then cc var."			52.25	-128.3	277	180	207	5	29.91	50	49		opz	cu-n	10	20			
1935-06-22	5	52.4	-128.51	320		12.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	0510: Jorkins Pt atp dist 6 mi entered Finlayson Channel.			52.401	-128.512	320	135	162	5	29.93	51	50	53	odz	cu n	10	7			
1935-06-22	6	52.65	-128.48	888		15		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	0600: Passed through North Passage and entered Tolmie Channel.			52.646	-128.476	v	135	162	2	29.93	51	50	50	oz	cu n	10	20			
1935-06-22	7	52.87	-128.52	6		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	0711: Entered Graham Reach. Watch end abeam Khutze Inlet.			52.866	-128.438	6	0	0	0	29.92	50	50	47	orz	cu n	10	7			
1935-06-22	8	53.1	-128.57	342		15		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 			 53 6N	128 34W	342	135	162	2	29.93	51	50	48	odz	cu n	10	20			
1935-06-22	9	53.24	-128.82	310		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	0925: Passed Kingcome Pt Lt abm brg 185 dist 5/10 mi. 0948 Nelly Pt atp 170 dist 1.5 mi.			53.229	-128.839	310	135	162	0	29.91	54	50	48	odz	cu n	10	20			"0948: It was observed that the steering compass (magnetic) had 10W westerly error in deviation while crossing Wright Sound, but developed 4o Westerly deviation immediately after entering Grenville Channel."
1935-06-22	10	53.33	-129.17	299		13.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"1035: Camp Pt ats, brg 39 dist 0.4 mi. cc var"			53.33	-129.17	299	202	230	2	29.93	55	52	52	opz	cu n	10	20			
1935-06-22	11	53.45	-129.46	314		14.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"1137: James Pt ats, brg 48 dist 5/10 mi."			53.464	-129.443	314	0	0	0	29.91	55	52	52	odz	cu n	10	20			
1935-06-22	12	53.61	-129.71	319		14.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 			53 37N	129 42W	319	0	0	0	29.91	56	53	49	odz	cu n	10	20			
1935-06-22	13	53.8	-129.96	315		13.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"1346: Passed Wastson Rock ats brg 53, dist 0.3 mi."					315	135	162	3	29.92	58	54	47	oez	s-cu	10	20			
1935-06-22	14	53.99	-130.21	343		16		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"1426: Passed Bamfield Beacon abm brg 232 dist 0.7 mi. 1438 passed Lawyer Id Lt abm brg 18, dist 1.1 mi."					343	135	162	3	29.91	61	55	49	opz	cu-n	10	20			
1935-06-22	15	54.17	-130.43	326		14		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 					326	135	162	3	29.89	57	54	50	opz	cu-n	10	20			
1935-06-22	16	54.4	-130.61	343		15.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"1600: Hodgson Rock brg 114, dist 2.5 mi."					343	0	0	0	29.90	60	54	52	cz	s-cu	9	50			
1935-06-22	17	54.62	-130.73	355		14.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"1722: Tree Pt Lt ats dist 1.2 mi. cc 3431T & G, then cc var into Ketchikan."					355	315	342	5	29.90	60	54	52	cz	ci-cu	8	20			
1935-06-22	18	54.81	-130.99	346		14.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 					341	270	297	8	29.88	59	54	52	cz	ci-cu	6	20			
1935-06-22	19	55.06	-131.1	341		15		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 					341	202	230	2	29.89	56	53	54	bc	cu	4	20			
1935-06-22	20	55.22	-131.37	341		12.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"2000: cc 296. 2010 Angle Pt ats brg 26, dist 0.4 mi, cc 319. 2024 Spirit Id Lt atp dist 0.4 mi, cc 296. 2034 Mountain Pt ats, cc var. 2039 Potter Rock buoy atp close. 2050 cc var to dock."			55 13N	131 22W	296	0	0	0	29.87	55	51	52	bc	cu	4	50			
1935-06-22	21	55.33	-131.63	296		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	"2110: Heckmans Wharf, Ketchikan."																			
1935-06-22	22	55.34	-131.65	888		0.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 																			
1935-06-22	23	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 																			
1935-06-22	24	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0037.JPG	 						225	252	2	29.90	47	47		bc	ci-cu	3	20			
1935-06-23	1	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0039.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0039.JPG	 																			
1935-06-23	2	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0039.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0039.JPG	 																			
1935-06-23	3	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0039.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678307/content/dc-metro/rg-026/585454/0002/Chelan-1935-06/Chelan-1935-06-0039.JPG	 																			
