YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships
1936-07-10	1	52.35	-128.53	152		2.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0023.JPG	0100: Drifting near Vancouver Rock			52.351	-128.529	152	225	252	5	29.59	57	55	53	orz	n		10			
1936-07-10	2	52.35	-128.53	332		0.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	0206: Got Underway 0206: cc 3.  0230 Jorkins Lt atp dist 0.6 mi cc 352.			52.351	-128.529	332	225	252	5	29.59	56	55	58	orz	n		10			
1936-07-10	3	52.54	-128.46	34		9.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	0333: Separation Pt Lt ats dist 1/4 mi cc 300. 0355 cc var			52.54	-128.46	34	225	252	2	29.57	57	54	54	orz	n		10			
1936-07-10	4	52.76	-128.55	342		13.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	 			52.76	-128.55	342	225	252	2	29.55	56	54	54	orz	n		10			
1936-07-10	5	53	-128.52	315		14.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	0550: Entered Fraser Reach cc var			53	-128.52	315	225	252	2	29.57	55	54	50	oez	n		10			
1936-07-10	6	53.21	-128.76	888		14.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	"0620: Rounded Kingcome Pt, entered McKay Reach. 0655 Cummings Pt ats entered Wright Sound"			53.21	-128.76	v	315	342	2	29.57	55	54	52	oez	n		10			
1936-07-10	7	53.31	-129.17	888		14.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	"0735: Camp Pt ats, entered Grenville Channel"			53.31	-129.17	v	315	342	2	29.59	56	54	54	oez	n		10			
1936-07-10	8	53.47	-129.48	888		14.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	 			53 28N	129 29W	v	315	342	2	29.59	57	55	54	oez	a cu		9			
1936-07-10	9	53.61	-129.71	888		12.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	0915: Klewnuggit Lt ats			53.61	-129.71	v	135	162	0	29.59	60	56	48	oc	s cu		10			
1936-07-10	10	53.8	-129.96	888		15.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23678912/content/dc-metro/rg-026/585454/0002/Chelan-1936-07/Chelan-1936-07-0021.JPG	1040: Watson Rock Lt ats. Entered Arthur Passage cc 345T			53.8	-129.96	v	135	162	0	29.60	60	56	50	oc	s cu		10			
