YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	Baro	Attd	Dry	Wet	Water	Ships
1944-06-05	12	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg		Brgs: Palisades 377, Zeto Pt 32, Gannet Rock 219, Nashville, 260, Buoy 121o5'T.			51.88	-176.59		30.25	40	40	38		
1944-06-05	13	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					51.88	-176.59		30.26	48	48	46		
1944-06-05	14	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					51.88	-176.59		30.26	48	48	46		
1944-06-05	15	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					51.88	-176.59		30.26	48	48	46		
1944-06-05	16	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					51.88	-176.59		30.26	48	48	46		
1944-06-05	17	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					51.88	-176.59		30.28	49	49	47		
1944-06-05	18	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					51.88	-176.59		30.28	48	48	47		
1944-06-05	19	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					51.88	-176.59		30.28	51	51	48		
1944-06-05	20	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					51.88	-176.59		30.28	48	48	45		
1944-06-05	21	51.88	-176.59			a		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg		2100: underway			51.88	-176.59		30.28	47	47	44		
1944-06-05	22	51.98	-176.42	40		8.6		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg		2210: cc 339T. cc 355T			51.98	-176.42	40	30.29	44	44	42	42	
1944-06-05	23	52.17	-176.43	355		12		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					52.17	-176.43	355	30.3	41	41	40	42	
1944-06-05	24	52.36	-176.44	355		12.2		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0012.jpg					52.36	-176.44	355	30.3	40	40	39	42	
1944-06-06	1	52.54	-176.45	355		12.1		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg	 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0015.jpg				52.54	-176.45	355	30.33	40	40	39	42	
1944-06-06	2	52.73	-176.46	355		12.1		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg		0215: cc 275			52.73	-176.46	355	30.33	40	40	39	42	
1944-06-06	3	52.74	-176.77	275		12.1		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.74	-176.77	275	30.33	40	40	39	42	
1944-06-06	4	52.74	-177.08	275		12.1		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.74	-177.08	275	30.33	41	41	40	42	
1944-06-06	5	52.75	-177.39	275		12.1		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.75	-177.39	275	30.32	41	41	40	42	
1944-06-06	6	52.76	-177.7	275		12.1		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.76	-177.7	275	30.32	41	41	40	42	
1944-06-06	7	52.76	-178.02	275		12.1		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.76	-178.02	275	30.32	41	41	40	42	
1944-06-06	8	52.77	-178.33	275		12.3		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.77	-178.33	275	30.32	42	42	41	42	
1944-06-06	9	52.78	-178.65	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.78	-178.65	275	30.32	43	43	42	42	
1944-06-06	10	52.8	-178.96	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.8	-178.96	275	30.3	47	47	45	42	
1944-06-06	11	52.82	-179.27	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.82	-179.27	275	30.29	45	45	43	42	
1944-06-06	12	52.83	-179.58	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.83	-179.58	275	30.29	44	44	43	42	
1944-06-06	13	52.86	-179.88	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.86	-179.88	275	30.27	44	44	42	42	1310: USS Charleston, USS Doherty
1944-06-06	14	52.89	179.83	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.89	179.83	275	30.24	44	44	42	42	
1944-06-06	15	52.92	179.54	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.92	179.54	275	30.24	44	44	42	42	
1944-06-06	16	52.95	179.24	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.95	179.24	275	30.22	44	44	42	42	
1944-06-06	17	52.98	178.95	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					52.98	178.95	275	30.2	42	42	40	42	
1944-06-06	18	53.02	178.66	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					53.02	178.66	275	30.18	42	42	40	42	
1944-06-06	19	53.05	178.36	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					53.05	178.36	275	30.15	42	42	41	42	
1944-06-06	20	53.08	178.07	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					53.08	178.07	275	30.13	43	43	42	42	
1944-06-06	21	53.11	177.75	275		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg		2105: cc 271			53.11	177.75	275	30.12	42	42	41	42	
1944-06-06	22	53.12	177.44	271		12.4		 https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/cuyama-ao-3-1944-06/cuyama-ao-3-1944-06-0014.jpg					53.12	177.44	271	30.08	42	42	41	42	
