YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course
1954-06-02	1	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0293.JPG	 			42.34	-71.01	
1954-06-02	2	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	 			42.34	-71.01	
1954-06-02	3	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	 			42.34	-71.01	
1954-06-02	4	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	 			42.34	-71.01	
1954-06-02	5	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	 			42.34	-71.01	
1954-06-02	6	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	 			42.34	-71.01	
1954-06-02	7	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	 			42.34	-71.01	
1954-06-02	8	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	0800: Boston			42.34	-71.01	
1954-06-02	9	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	 			42.34	-71.01	
1954-06-02	10	42.34	-71.01			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/25/3406/24340625/content/dc-metro/rg-026/559642/0001-A1/Eastwind-WAG-279-1954/Eastwind-WAG-279-1954_0292.JPG	1000 underway			42.34	-71.01	
