YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	People	Ships
1922-04-15	1	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0024.JPG	 			47.611	-122.35															
1922-04-15	2	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	 			47.611	-122.35															
1922-04-15	3	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	 			47.611	-122.35															
1922-04-15	4	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	 			47.611	-122.35		225	249	2	30.21	46		bc	S Cu		9				
1922-04-15	5	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	 			47.611	-122.35															
1922-04-15	6	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	 			47.611	-122.35															
1922-04-15	7	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	 			47.611	-122.35															
1922-04-15	8	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	"0800: Bell Street Wharf, Seattle"			47.611	-122.35		135	159	2	30.33	37		o	A-S		10				
1922-04-15	9	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	 			47.611	-122.35															
1922-04-15	10	47.61	-122.35			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23681931/content/dc-metro/rg-026/585454/0002/Haida-1922-04/Haida-1922-04-0023.JPG	1005: Underway. 1048 West Point abm.			47.61	-122.35		135	159	2	30.32	45		bc	S Cu		7				
