YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	Ships
1924-04-06	20	48.28	-123.92	253		12.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	 			48 17N	123 55W	253	248	272	8										
1924-04-06	21	48.36	-124.21	265		12.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	 			48.358	-124.208	265	248	272	13	30.26	48	50	oc	n	247.5	10	0.5		
1924-04-06	22	48.43	-124.49	265		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	2240: cc 260.			48.43	-124.49	265	248	272	13	30.26	48	50	ocr	n	247.5	10	0.5		
1924-04-06	23	48.49	-124.77	263		11.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	2350: cc 255			48.493	-124.766	263	248	272	13	30.26	47	50	ocr	n	247.5	10	0.25		
1924-04-06	24	48.54	-125.04	259		11.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0010.JPG	 			48.542	-125.036	259	248	272	13	30.26	47	50	ocr	n	247.5	10	0.25		
1924-04-07	1	48.58	-125.31	255		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			48.577	-125.307	255	248	272	19	30.30	42	48	bcf	cu	247.5	8	2		
1924-04-07	2	48.61	-125.57	255		10.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	0200: 282 psc			48.612	-125.568	255	248	272	19	30.30	42	48	bc	cu	247.5	6	7		
1924-04-07	3	48.72	-125.78	282		10.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			48.721	-125.778	282	248	272	19	30.30	40	48	bc	cu	247.5	1	50		
1924-04-07	4	48.83	-125.98	282		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			48.827	-125.984	282	248	272	19	30.30	40	48	bc	cir	247.5	1	50		
1924-04-07	5	48.93	-126.19	282		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			48.932	-126.186	282	292	316	19	30.31	40	48	bc	ci	292.5	2	7		
