YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	From	Amount	VisM	Ships	Other
1926-04-16	1	48.6	-125.29	290		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	"0120: Cape Beale abeam, dist. 12.5 miles"			48.5974	-125.2948	290	259	284	5	30.02	51	54	c	cun		5	50		
1926-04-16	2	48.66	-125.54	290		10.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	 			48.6562	-125.5389	290	236	261	2	30.02	52	54	c	cun		6	50		
1926-04-16	3	48.71	-125.78	290		10.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	 			48.7137	-125.7785	290	214	239	2	30.01	52	54	c	cun		7	20		
1926-04-16	4	48.77	-126.02	290		10.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	 			48.7713	-126.0183	290	214	239	5	30.00	52	54	o	cun		10	7		
1926-04-16	5	48.83	-126.26	290		10.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	 			48.83	-126.2632	290	225	250	5	29.99	47	52	om	scu		10	4		
1926-04-16	6	48.89	-126.5	290		10.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	0602: 299 gyro			48.8876	-126.5036	290	225	250	5	29.98	45	52	of			10	2		
1926-04-16	7	48.97	-126.73	299		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	 			48.9684	-126.7255	299	225	250	5	29.97	45	52	of			10	2		
1926-04-16	8	49.05	-126.95	299		10.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	 			49 3 0 	126 57W	299	225	250	5	29.95	45	52	oz	cun		10	7		
1926-04-16	9	49.15	-127.17	299		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	 			49.149	-127.168	299	225	250	5	29.95	48	52	of	cun		10	7		
1926-04-16	10	49.25	-127.39	299		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683902/content/dc-metro/rg-026/585454/0002/Haida-1926-04/Haida-1926-04-0025.JPG	 			49.25	-127.39	299	225	250	5	29.93	47	52	ofm	cun		10	4		
