YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	From	Amount	VisM	Ships	Other
1927-04-16	1	48.6	-124.96	251		7.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	"0125: Swiftsure light vessel starboard beam, dist. 2 miles, cc 297 gyro 274 psc"						259	284	5	30.02	46	50	o	cu		10	2		
1927-04-16	2	48.64	-125.12	297		5.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						259	284	8	30.02	45	50	o	cu		10	2		
1927-04-16	3	48.68	-125.29	294		6.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						304	329	13	30.02	43	50	c	acu		5	2		
1927-04-16	4	48.72	-125.46	294		6.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						304	329	13	30.04	43	50	b				2		
1927-04-16	5	48.77	-125.65	294		7.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						281	306	13	30.05	44	50	bc	cu		2	4		
1927-04-16	6	48.82	-125.84	294		7.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						281	306	13	30.06	46	50	c	cu		6	7		
1927-04-16	7	48.87	-126.05	294		7.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						281	306	13	30.08	46	50	c	cu		6	20		
1927-04-16	8	48.92	-126.25	294		7.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						281	306	13	30.09	47	50	c	cu		8	20		
1927-04-16	9	48.98	-126.47	293		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						281	306	13	30.10	47	50	cfm	cun		8	7		
1927-04-16	10	49.06	-126.68	297		9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						281	306	13	30.13	47	49	cfm	cun		8	7		
1927-04-16	11	49.13	-126.88	297		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						281	306	13	30.10	46	49	cfm	cun		9	7		
1927-04-16	12	49.2	-127.07	297		8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	Noon: 300 T						281	306	13	30.10	46	48	c	cu		9	20		
1927-04-16	13	49.26	-127.26	301		8.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						292	318	19	30.10	47	49	qc	cun		9	2		
1927-04-16	14	49.32	-127.44	301		7.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						292	318	13	30.10	46	50	qc	cun		9	2		
1927-04-16	15	49.38	-127.61	301		7.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						292	318	13	30.10	45	50	qo	cun		9	2		
1927-04-16	16	49.43	-127.78	301		7.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						292	318	13	30.10	46	50	o	cun		10	2		
1927-04-16	17	49.49	-127.95	301		7.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						270	295	13	30.09	46	50	c	scu		9	4		
1927-04-16	18	49.55	-128.12	301		7.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						281	306	13	30.10	46	50	o	scu		10	7		
1927-04-16	19	49.6	-128.29	301		7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						248	272	13	30.08	46	50	or	cun		10	7		
1927-04-16	20	49.65	-128.45	301		7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						248	272	13	30.06	45	50	op	cun		10	7		
1927-04-16	21	49.72	-128.63	301		7.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684420/content/dc-metro/rg-026/585454/0002/Haida-1927-04/Haida-1927-04-0023.JPG	 						248	272	13	30.04	45	50	o	cun		10	7		
