YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	Amount	VisM	Ships	Other
1928-04-17	1	48.52	-124.87	290		7.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	"0145: 270 gyro 0150: Swiftsure Lightship abeam, 179 gyro, dist. 0.125 miles. cc 297 gyro"			48.52	-124.87	290	225	249	13	29.64	45	52	od	n	10	7		
1928-04-17	2	48.56	-125.05	297		7.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	"0245: Pachena Light abeam, 30 gyro, dist. 8 miles. Swiftsure Lightship brg 118 gyro"			48.56	-125.05	297	202	226	8	29.65	44	51	c	cun	7	7		
1928-04-17	3	48.61	-125.23	297		8.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	0350: 230 gyro			48.612	-125.232	297	225	249	5	29.65	44	51	bc	cu	4	7		
1928-04-17	4	48.66	-125.41	297		8.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	0420: 297 gyro			48.661	-125.408	297	180	204	5	29.65	44	51	c	cu	6	7		
1928-04-17	5	48.71	-125.59	297		8.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			48.713	-125.589	297	225	249	8	29.62	44	51	or	n	10	7		
1928-04-17	6	48.76	-125.75	297		7.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			48.758	-125.751	297	214	238	8	29.62	43	50	ofq	n	10	7		
1928-04-17	7	48.81	-125.94	297		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			48.812	-125.941	297	180	204	8	29.62	43	50	ofq	n	10	7		
1928-04-17	8	48.87	-126.13	297		8.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			48 52 0 	 126 8W	297	146	170	8	29.64	44	50	c	cun	8	7		
1928-04-17	9	48.93	-126.33	297		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			48.931	-126.332	297	56	80	8	29.65	42	50	or	n	10	7		
1928-04-17	10	49	-126.53	297		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			48.996	-126.533	297	45	69	8	29.67	42	52	or	n	10	20		
1928-04-17	11	49.06	-126.74	297		8.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	1100: 310G			49.061	-126.736	297	11	35	8	29.68	42	50	or	n	10	20		
1928-04-17	12	49.17	-126.93	310		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			49 10N	126 56W	310	45	69	8	29.70	43	51	or	n	10	20		"1240: Gyro compass failed to operate properly, steering 280 magnetic compass"
1928-04-17	13	49.28	-127.13	310		8.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	1325: Set clocks back 20 minutes			49.283	-127.133	310	45	69	13	29.70	44	52	o	cun	10	7		
1928-04-17	14	49.41	-127.35	310		9.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			49.408	-127.351	310	45	69	13	29.71	44	52	c	as	9	20		
1928-04-17	15	49.53	-127.57	310		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	1525: Set clocks back 20 minutes			49.533	-127.568	310	135	159	8	29.72	45	52	c	as	8	20		1525: Set clocks back 20 minutes
1928-04-17	16	49.7	-127.86	310		13.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			49.698	-127.859	310	135	159	8	29.74	45	51	c	as	7	50		
1928-04-17	17	49.82	-128.07	310		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	1700: Cape Cook abeam			49.821	-128.073	310	90	114	5	29.74	45	52	c	scu	8	50		
1928-04-17	18	49.95	-128.3	310		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	1800: Set clocks back 20 minutes			49.949	-128.299	310	68	92	5	29.75	45	52	o	scu	10	50		
1928-04-17	19	50.12	-128.6	310		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			50.118	-128.6	310	68	92	5	29.75	45	52	o	scu	10	50		
1928-04-17	20	50.25	-128.83	310		10.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			50 15 0 	128 50W	310	90	114	5	29.75	45	52	o	scu	10	50		
1928-04-17	21	50.35	-129.05	310		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	2125: Set clocks back 20 minutes			50.347	-129.053	310	236	260	3	29.75	46	52	o	scu	10	7		
1928-04-17	22	50.45	-129.28	310		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			50.451	-129.284	310	270	294	13	29.76	46	52	o	scu	10	7		
1928-04-17	23	50.55	-129.5	310		9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			50.546	-129.5	310	225	249	13	29.76	45	52	bc	scu	3	7		
1928-04-17	24	50.65	-129.73	310		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0026.JPG	 			50.646	-129.725	310	214	238	13	29.75	45		bc	scu	4	50		
1928-04-18	1	50.73	-129.92	310		7.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			50.729	-129.92	310	225	249	8	29.74	45	52	c	n	10	7		
1928-04-18	2	50.82	-130.12	310		8.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			50.816	-130.121	310	225	249	8	29.74	45	50	bcz	scu	6	7		
1928-04-18	3	50.9	-130.33	310		8.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			50.903	-130.325	310	225	249	13	29.75	45	50	bcz	scu	5	7		
1928-04-18	4	50.99	-130.53	310		8.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			50.99	-130.527	310	225	249	8	29.75	45	50	bcz	scu	5	7		
1928-04-18	5	51.07	-130.72	310		7.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			51.073	-130.724	310	259	283	8	29.75	41	50	or	n	10	7		
1928-04-18	6	51.15	-130.91	310		7.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			51.154	-130.914	310	259	283	13	29.75	40	50	or	n	10	7		
1928-04-18	7	51.25	-131.13	310		8.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			51.245	-131.126	310	259	283	13	29.76	41	50	c	cun	10	7		
1928-04-18	8	51.33	-131.33	310		8.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			51 20 0 	131 20W	310	259	286	13	29.78	41	50	o	cun	10	7		
1928-04-18	9	51.44	-131.54	310		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	0920: 320 gyro			51.435	-131.542	310	270	297	19	29.78	42	50	o	n	10	7		
1928-04-18	10	51.55	-131.73	317		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			51.55	-131.731	317	270	297	13	29.78	43	50	oc	n	10	7		
1928-04-18	11	51.66	-131.9	320		8.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			51.663	-131.902	320	270	297	8	29.78	45	50	oc	acu	8	20		
1928-04-18	12	51.78	-132.08	320		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			51 47 0 	 132 5W	320	270	297	8	29.78	46	50	oc	ccicu	8	20		
1928-04-18	13	51.9	-132.25	320		9.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			51.898	-132.249	320	248	274	13	29.78	45	50	c	acu	6	50		
1928-04-18	14	52.02	-132.42	320		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			52.017	-132.42	320	225	252	8	29.78	44	50	bc	cu	5	50		
1928-04-18	15	52.14	-132.59	320		9.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			52.138	-132.593	320	259	286	8	29.78	43	50	bc	cu	4	50		
1928-04-18	16	52.26	-132.77	320		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			52.26	-132.771	320	270	297	8	29.79	43	50	bc	cu	5	50		
1928-04-18	17	52.38	-132.95	320		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			52.384	-132.95	320	270	297	8	29.80	43	50	bc	cicu	5	50		
1928-04-18	18	52.5	-133.12	320		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			52.501	-133.12	320	270	297	5	29.80	43	50	bc	cicu	5	50		
1928-04-18	19	52.63	-133.3	320		9.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			52.626	-133.302	320	259	286	2	29.80	43	50	c	scu	5	50		
1928-04-18	20	52.75	-133.48	320		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			52 45 0 	133 29W	320	259	286	5	29.80	43	50	c	scu	5	50		
1928-04-18	21	52.89	-133.67	320		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			52.894	-133.672	320	270	297	2	29.80	42	50	bc	scu	5	50		
1928-04-18	22	53.04	-133.86	320		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			53.038	-133.86	320	0	0	0	29.81	42	50	bc	scu	5	50		
1928-04-18	23	53.18	-134.05	320		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			53.181	-134.05	320	270	297	2	29.82	42	50	c	scu	8	20		
1928-04-18	24	53.32	-134.24	320		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0027.JPG	 			53.323	-134.236	320	270	297	2	29.82	42	50	c	scu	8	20		
1928-04-19	1	53.46	-134.42	320		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			53.46	-134.418	320	270	297	8	29.79	41	50	bz			7		
1928-04-19	2	53.6	-134.6	320		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			53.597	-134.601	320	270	297	8	29.80	41	48	bcz	scu	2	4		
1928-04-19	3	53.74	-134.78	320		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			53.735	-134.784	320	202	230	8	29.80	41	48	c	scu	8	7		
1928-04-19	4	53.87	-134.97	320		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			53.872	-134.967	320	248	274	2	29.80	43	48	c	scu	9	20		
1928-04-19	5	54.01	-135.15	320		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			54.006	-135.146	320	180	207	2	29.79	43	48	c	cun	5	20		
1928-04-19	6	54.14	-135.32	320		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			54.137	-135.321	320	112	140	5	29.79	43	48	c	cun	7	20		
1928-04-19	7	54.28	-135.51	320		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			54.275	-135.509	320	158	184	8	29.78	44	48	c	cun	9	20		
1928-04-19	8	54.42	-135.7	320		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			54 25 0 	135 42W	320	158	184	13	29.77	44	48	c	cun	9	20		
1928-04-19	9	54.55	-135.89	320		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	0940: 318 T			54.553	-135.89	320	135	162	13	29.75	51	48	c	cun	9	20		
1928-04-19	10	54.7	-136.11	318		10.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			54.698	-136.107	318	135	162	13	29.73	53	48	c	cu	8	50		
1928-04-19	11	54.83	-136.31	318		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23684933/content/dc-metro/rg-026/585454/0002/Haida-1928-04/Haida-1928-04-0028.JPG	 			54.833	-136.309	318	180	207	13	29.71	51	48	c	cu	9	50		
