YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	VisM	Flora&Fauna	People	Ships	Other
1929-06-09	1	48.46	-124.69	296		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0017.JPG	0101: Tatoosh Is Lt abm 4.7mi  0120 cc 291T 0135 Carmanah Lt abm stbd 8mi			48.46	-124.69	296	326	350	6	30.01	50		52	o	cu	10	7				
1929-06-09	2	48.53	-124.92	294		10.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	0220: 254T towards Lt Vessel 0225 Swiftsure Lt vessel abm port 0.5mi 0237 cc 298T Swiftsure Lt brg 108 gyro			48.53	-124.92	294	292	316	6	30.02	48		52	o	cu	10	7				
1929-06-09	3	48.55	-125.16	283		9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			48.55	-125.16	283	292	316	6	30.01	48		52	o	ci	10	20				
1929-06-09	4	48.63	-125.38	298		10.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			48.63	-125.38	298	270	294	6	30.00	51		52	o	cu n	10	50				
1929-06-09	5	48.71	-125.58	298		9.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			48.71	-125.58	298	270	294	2	30.00	50		54	of	as	10	4				
1929-06-09	6	48.79	-125.81	298		10.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			48.79	-125.81	298	270	294	2	30.00	50		54	of	as	10	2				
1929-06-09	7	48.87	-126.02	298		9.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			48.87	-126.02	298	315	339	2	30.00	50		54	cz	s cu	9	20				
1929-06-09	8	48.93	-126.2	298		8.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			48.93	-126.2	298	315	339	2	30.00	50		54	cz	s cu	10	20				
1929-06-09	9	49.01	-126.43	298		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			49.01	-126.43	298	315	339	2	29.98	50		55	ocz	s cu	10	20				
1929-06-09	10	49.08	-126.67	298		9.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	1005: 308T			49.08	-126.67	298	315	339	2	29.98	56	54	56	ocz	s cu	10	20				
1929-06-09	11	49.18	-126.89	307		9.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			49.18	-126.89	307	315	339	2	30.01	56	54	56	ocz	s cu	10	20				
1929-06-09	12	49.28	-127.12	308		10.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23685547/content/dc-metro/rg-026/585454/0002/Haida-1929-06/Haida-1929-06-0014.JPG	 			49.28	-127.12	308	315	339	2	30.00	57	55	55	ocz	s cu	8	20				
