YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	VisM	Flora&Fauna	People	Ships	Other
1930-04-16	1	48.39	-124.32	289		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	1:13AM: cc 295			48.39	-124.32	289	270	294	5	30.10	45	44	50	oc	cu	8	4				
1930-04-16	2	48.47	-124.6	295		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	2:15AM: Tatoosh Island Light abeam.			48.468	-124.599	295	270	294	5	30.10	45	43	50	oc	cu	8	20				
1930-04-16	3	48.55	-124.88	295		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	3:25 AM: Swiftsure Light Vessel abeam.			48.545	-124.879	295	270	294	2	30.10	46	42	50	oc	scu	6	50				
1930-04-16	4	48.62	-125.16	295		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			48.623	-125.159	295	270	294	5	30.10	46	42	50	oc	scu	5	50	4AM to 8AM: Sighted 7 seal pups during watch.			
1930-04-16	5	48.7	-125.44	295		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			48.7	-125.439	295	270	294	5	30.12	45	45	50	c	scu	6	50				
1930-04-16	6	48.78	-125.72	295		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			48.778	-125.72	295	270	294	5	30.12	45	45	52	c	cun	7	50				
1930-04-16	7	48.86	-126	295		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			48.856	-126.002	295	270	294	5	30.16	46	46	52	c	cun	7	50				
1930-04-16	8	48.93	-126.28	295		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	8:00AM: cc 306			48 56N	126 17W	295	270	294	5	30.16	46	46	50	c	cun	8	50	8AM to Meridian: Sighted one seal.			
1930-04-16	9	49.03	-126.55	306		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	9:30AM: cc 299			49.031	-126.549	306	270	294	8	30.16	47	48	50	c	cun	10	50				
1930-04-16	10	49.13	-126.82	306		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			49.129	-126.816	306	270	294	8	30.16	46	48	50	cr	cun	10	20				
1930-04-16	11	49.23	-127.08	306		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			49.227	-127.083	306	270	294	8	30.16	46	48	50	cr	cun	10	4				
1930-04-16	12	49.33	-127.35	306		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	12:25PM: cc 299			49 19 30 N	127 21W	306	270	294	8	30.15	46	50	50	cr	cun	10	20	Meridian to 4PM: No seals sighted		Meridian to 4PM: UNALGA in sight on horizon off starboard quarter first part of watch.	
1930-04-16	13	49.42	-127.62	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			49.42	-127.616	301	270	294	2	30.13	46	45	50	cr	cun	10	20				
1930-04-16	14	49.52	-127.88	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			49.516	-127.883	301	259	283	3	30.12	49	47	50	cr	cun	10	20				
1930-04-16	15	49.61	-128.15	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			49.611	-128.151	301	248	272	5	30.11	49	47	50	crz	cun	10	20				
1930-04-16	16	49.71	-128.42	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			49.706	-128.419	301	248	272	5	30.10	48	48	50	orz	cun	10	7				
1930-04-16	17	49.8	-128.69	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			49.802	-128.687	301	248	272	5	30.08	50	47	50	of	cun	10	4				
1930-04-16	18	49.9	-128.96	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			49.897	-128.956	301	248	272	5	30.08	50	47	50	of	cun	10	7				
1930-04-16	19	49.99	-129.23	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	7:00PM: Set ship's clocks back one hour to conform to + nine time.			49.993	-129.226	301	270	294	5	30.07	50	46	50	om	cun	10					7:00PM: Set ship's clocks back one hour to conform to + nine time.
1930-04-16	19	50.09	-129.5	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			50.088	-129.496	301	270	294	5	30.07	50	45	50	om	cun	10					
1930-04-16	20	50.18	-129.77	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			50 11N	129 46W	301	270	294	5	30.07	47	44	50	od	n	10					
1930-04-16	21	50.28	-130.04	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			50.281	-130.041	301	304	328	3	30.07	47	44	50	or	cun	10	7				
1930-04-16	22	50.38	-130.32	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			50.378	-130.316	301	304	328	3	30.10	46	42	50	or	cun	10	7				
1930-04-16	23	50.48	-130.59	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			50.475	-130.592	301	292	316	3	30.10	40	42	50	or	cun	10	7				
1930-04-16	24	50.57	-130.87	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0021.JPG	 			50.572	-130.869	301	292	316	3	30.10	40	42	50	or	cun	10	7				
1930-04-17	1	50.67	-131.15	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	 			50.669	-131.145	301	304	328	5	30.09	40	42	48	or	cun	10	7				
1930-04-17	2	50.77	-131.42	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	 			50.767	-131.423	301	304	330	5	30.09	42	44	48	or	cun	10	7				
1930-04-17	3	50.86	-131.7	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	 			50.864	-131.701	301	304	330	5	30.08	41	44	48	or	cun	10	20				
1930-04-17	4	50.96	-131.98	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	 			50.961	-131.98	301	304	330	5	30.08	41	43	48	o	scu	8	50				
1930-04-17	5	51.06	-132.26	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	 			51.058	-132.259	301	315	341	5	30.08	41	43	48	c	cu	7	50				
1930-04-17	6	51.16	-132.54	301		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23686005/content/dc-metro/rg-026/585454/0002/Haida-1930-04/Haida-1930-04-0022.JPG	 			51.156	-132.539	301	315	341	5	30.08	41	41	48	c	cu	8	50				
