YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	VisM	People	Ships	Other
1932-06-27	20	54.55	-133.2	283		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	 			54 33N	133 12W	283	248	276	8	29.95	53	51	52	o	CUN	10	20			
1932-06-27	21	54.75	-133.45	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	 			54.7481	-133.446	329	248	276	8	29.95	53	51	54	oc	CUN	10	7			
1932-06-27	22	54.95	-133.69	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	 			54.9461	-133.692	329	248	276	8	29.95	53	51	52	oc	CUN	10	7			
1932-06-27	23	55.15	-133.94	329		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	 			55.147	-133.943	329	248	276	8	29.95	53	51	52	or	CUN	10	7			
1932-06-27	24	55.35	-134.19	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0037.JPG	0000-0400: Steaming as before on course 329 pgc			55.3451	-134.193	329	248	276	5	29.94	52	51	52	or	CUN	10	4			
1932-06-28	1	55.54	-134.44	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	 			55.5432	-134.443	329	225	254	5	29.93	51	50	52	OR	CUN	10	20			
1932-06-28	2	55.74	-134.7	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	0200: Changed clocks from (+)8 to (+)9 zone time.			55.7412	-134.695	329	225	254	5	29.93	51	50	52	OR	CUN	10	20			
1932-06-28	2	55.94	-134.95	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	 			55.9393	-134.948	329	225	254	5	29.92	53	52	52	OR	CUN	10	20			
1932-06-28	3	56.14	-135.2	329		13.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	 			56.1388	-135.204	329	225	254	5	29.92	52	51	52	OR	CUN	10	7			
1932-06-28	4	56.34	-135.46	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687105/content/dc-metro/rg-026/585454/0002/Haida-1932-06/Haida-1932-06-0038.JPG	 			56.3368	-135.459	329	225	254	2	29.90	50	49	52	O	CUN	10	7			
