YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	VisM	Ships	Other
1933-05-26	12	50.62	-127.05	295		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	1216: Pulteney Pt abm cc 313			50 37N	 127 3W	295	158	184	2	30.11	53	48	48	o	cu n	10	20		
1933-05-26	13	50.76	-127.33	308		13.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	1314: Masterman Id abm cc 289			50.7568	-127.327	308	158	184	2	30.11	54	49	48	op	cu n	10	20		
1933-05-26	14	50.81	-127.64	295		13.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	 			50.81	-127.641	295	158	184	2	30.11	55	51	48	op	cu n	10	20		
1933-05-26	15	50.89	-127.99	280		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	1500: Mexicana Pt abm cc 300			50.894	-127.992	280	158	184	2	30.10	57	52	48	o	cu n	10	20		
1933-05-26	16	51.01	-128.3	300		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	1615: cc 329			51.0091	-128.3	300	202	228	8	30.08	56	51	48	o	cu n	10	20		
1933-05-26	17	51.19	-128.52	322		13.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	 			51.1851	-128.515	322	225	251	8	30.08	54	50	48	or	cu n	10	7		
1933-05-26	18	51.38	-128.7	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	 			51.3805	-128.699	329	225	251	13	30.07	54	49	48	om	cu n	10	7		
1933-05-26	19	51.58	-128.89	329		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	 			51.576	-128.885	329	180	206	13	30.05	43	49	48	or	cu n	10	7		
1933-05-26	20	51.75	-129.05	329		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	 			51 45N	 129 3W	329	180	206	13	30.05	42	49	48	om	cu n	10	7		
1933-05-26	21	51.92	-129.2	329		11.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23687566/content/dc-metro/rg-026/585454/0002/Haida-1933-05/Haida-1933-05-0035.JPG	 			51.9184	-129.2	329	180	206	13	30.05	42	49	48	of	cu n	10	4		
