YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	People	Ships	Other
1935-01-28	1	54.05	-130.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	"0000-0400: Anchored as before in Chalmers Bay, British Columbia, Canada brgs: Genn I. 350 pgc, and Lawyer I. 328 pgc"			54.046	-130.276															"Top of Page: 1715 The following named men were transferred to the Alert of permanent duty. Authority: Seattle Division Letter, 17 January, 1935 (601-701-531) Manalo, Severino (268-009) M.ATT.2/C; Pittson, Albert B. (217-204) A.S.; Watson, Harold (217-205) A.S. "		
1935-01-28	2	54.05	-130.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	 			54.046	-130.276		135	163	8	29.84	54	51		OP	CUN		10	7				
1935-01-28	3	54.05	-130.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	 			54.046	-130.276																	
1935-01-28	4	54.05	-130.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	 			54.046	-130.276		135	163	8	29.79	52	49		O	N		10	7				
1935-01-28	5	54.05	-130.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	 			54.046	-130.276																	
1935-01-28	6	54.05	-130.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	 			54.046	-130.276																	
1935-01-28	7	54.05	-130.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	 			54.046	-130.276																	
1935-01-28	8	54.05	-130.28			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	"0815: Anchore aweigh, cc var. standing out of Chalmers Bay 0837 Genn Is. Lt. ats. dist. 1 mi.  cc to 301 pgc Standing through Malacca Passage.  0845 Lawyer Is. Lt. ats. dist. 1 mi. cc to 327 pgc 8AM: Chalmers Bay Canada"			54.05	-130.28		202	230	2	29.60	49	46		O	CUN		10	7				
1935-01-28	9	54.15	-130.41	327		11.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	0900: Holland Is. Lt. ats. dist. 2.5 mi.  0942 Lucy Is. Lt. atp. dist. 1 mi.  cc to 0 pgc Standing through Chatham Sound			54.15	-130.41	327	135	163	8	29.55	48	45	42	ORZ	N		10	7				
1935-01-28	10	54.38	-130.58	337		13.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/76/6883/23688376/content/dc-metro/rg-026/585454/0002/Haida-1935-01/Haida-1935-01-0035.JPG	"1002: Hodgson Reefs Buoy ats, distant one and one-half (0.5) miles cc to 335 pgc 1052 Green Is. Lt. ats. dist. 1 mi.  cc to 0 pgc Standing through Holliday Passage"			54.38	-130.58	337	68	96	13	29.50	47	43	42	ORZ	N		10	7				
