YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1937-01-23	1	49	-125.99	302		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	 						315	340	5	29.97	42	40	CZ	N		10	20			
1937-01-23	2	49.08	-126.2	302		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	 						315	340	5	29.97	41	40	CZ	N		10	20			
1937-01-23	3	49.17	-126.42	302		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	0311: Estevan Pt. Lt. ats. dist. 17 mi.						315	340	5	29.96	44	42	CZ	N		10	20			
1937-01-23	4	49.27	-126.66	302		10.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	0400: Estevan Lt. ats. dist. 8 mi. 						315	340	8	29.93	44	43	CZ	N		10	20			
1937-01-23	5	49.37	-126.87	302		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	 						315	340	19	29.93	46	43	op	N		10	7			
1937-01-23	6	49.46	-127.08	302		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	 						315	340	19	29.89	46	43	c	CUN		8	20			
1937-01-23	7	49.55	-127.28	302		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	 						315	340	19	29.87	46	43	c	CUN		7	20			
1937-01-23	8	49.63	-127.45	302		8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	0830: cc to 328 T 						315	340	19	29.87	46	46	o	CUN		7	7			
1937-01-23	9	49.73	-127.58	315		7.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	 						315	340	19	29.86	48	46	o	CUN		10	4			
1937-01-23	10	49.86	-127.69	328		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/6900/23690083/content/dc-metro/rg-026/585454/0002/Haida-1937-01/Haida-1937-01-0031.JPG	1043: cc to 308 T						315	340	24	29.84	48	46	o	CUN		10	7			
