YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	People	Ships	Other
1938-02-25	1	53.55	-129.59			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0036.JPG	0000-0400: Anchored in Lowe Inlet			53.551	-129.591																	
1938-02-25	2	53.55	-129.59			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	 			53.551	-129.591																	
1938-02-25	3	53.55	-129.59			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	 			53.551	-129.591																	
1938-02-25	4	53.55	-129.59			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	 			53.551	-129.591		0	0	0	30.11	45	46		OR	N		10	2				
1938-02-25	5	53.55	-129.59			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	 			53.551	-129.591																	
1938-02-25	6	53.55	-129.59			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	 			53.551	-129.591		0	0	0	30.12	47	46		od	N		10	4				
1938-02-25	7	53.55	-129.59			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	"0707: Weighed anchor and stood out of Lowes Inlet, cc var. 0726 Thom Is. beacon close ats.  Standing up Grenville Channel"			53.551	-129.591																	
1938-02-25	8	53.62	-129.72	888		10.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	0800-1200: On various courses standing to the Northward through Grenville Channel 0812: Klewnugget Inlet Lt. ats. 			53 37N	129 43W	v	0	0	0	30.10	47	46		od	N	135	10	2				
1938-02-25	9	53.81	-129.99	320		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	0925: Calvert Pt. atp.  0938 Watson Pt. Lt. ats.  commenced standing to the northward through Malacca Pass			53.81	-129.99	320	135	163	5	30.08	49	47		od	N	135	10	2				
1938-02-25	10	54.02	-130.22	345		13.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23690627/content/dc-metro/rg-026/585454/0002/Haida-1938-02/Haida-1938-02-0035.JPG	1019: White Beacon atp. 			54.02	-130.22	345	90	118	8	30.06	48	47		od	N	135	10	7				
