YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Other
1940-01-01	1	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43														
1940-01-01	2	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43														
1940-01-01	3	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43														
1940-01-01	4	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43		135	166	19	29.39	46	38		oq	as		10	20	
1940-01-01	5	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43														
1940-01-01	6	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43														
1940-01-01	7	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43														
1940-01-01	8	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43		135	166	19	29.38	45	38		oq	as		10	20	
1940-01-01	9	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43														
1940-01-01	10	58.3	-134.43			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/6916/23691671/content/dc-metro/rg-026/585454/0002/Haida-1940-01/Haida-1940-01-0005.JPG	 			58.3	-134.43														
