YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1945-01-01	1	49.53	-143.67	270		10.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.53	-143.67	270	281	304	13	29.60	47	45	46	OR	NS	281.25	10	2			
1945-01-01	2	49.53	-143.94	270		10.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.53	-143.94	270	281	304	13	29.65	47	45	46	o	ASSC	281.25	10	2			
1945-01-01	3	49.53	-144.22	270		10.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.53	-144.22	270	281	304	13	29.69	47	45	46	o	CS	281.25	10	7			
1945-01-01	4	49.53	-144.5	270		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.53	-144.5	270	259	282	13	29.69	47	45	46	c	CSCU	281.25	8	7			
1945-01-01	5	49.53	-144.74	270		9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.53	-144.74	270	248	270	13	29.72	49	47	46	o	CSCU	247.5	10	7			
1945-01-01	6	49.53	-145.02	270		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.53	-145.02	270	248	270	13	29.72	49	47	46	OF	STCS	247.5	10	0.5			
1945-01-01	7	49.53	-145.13	270		4.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.53	-145.13	270	248	270	13	29.79	47	44	46	OF	STCS	247.5	10	0.5			
1945-01-01	8	49.53	-145.25	270		4.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49 32N	145 15W	270	248	270	13	29.81	47	43	45	OF	STCS	247.5	10	0.5			
1945-01-01	9	49.53	-145.37	270		4.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.533	-145.37	270	0	0	0	29.83	46	46	45	OF	CS		10	1			
1945-01-01	10	49.53	-145.47	270		4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/7183/23718390/content/dc-metro/rg-026/587169/0002/Haida-1945-01/Haida-1945-01-0005.JPG	 			49.533	-145.467	270	225	248	5	29.86	49	48	45	c	CS	225	9	2			
