YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Mid	From	Amount	VisM	Ships	Other
1946-01-01	1	48.67	-146.73	220		4.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	0140: Drifting			48.6667	-146.7333	220	304	326	8	28.81	41	41	44	or	st ns		303.75	10	4		
1946-01-01	2	48.67	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	 			48.6667	-146.7333		304	326	8	28.82	41	41	44	c	st		303.75	7	7		
1946-01-01	3	48.67	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	 			48.6667	-146.7333		304	326	8	28.84	41	41	44	c	st		303.75	7	7		
1946-01-01	4	48.67	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	"0400: Underway with no way on, drifting."			48.6667	-146.7333		304	326	8	28.86	41	41	44	om	sy ns		303.75	10	4		
1946-01-01	5	48.67	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	 			48.6667	-146.7333		281	303	2	28.86	41	41	44	om	sy ns		281.25	10	4		
1946-01-01	6	48.67	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	 			48.6667	-146.7333		281	303	5	28.85	41	41	44	om	sy ns		281.25	10	4		
1946-01-01	7	48.67	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	 			48.6667	-146.7333		338	360	8	28.86	41	41	44	om	sy ns		337.5	10	4		
1946-01-01	8	48.67	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	 			48 40N	146 44W		338	360	8	28.87	43	43	44	od	sy ns		337.5	10	7		
1946-01-01	9	48.66	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	 			48.658	-146.729		338	360	13	28.90	44	44	44	od	st sc		337.5	10	7		
1946-01-01	10	48.65	-146.73			0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/7189/23718908/content/dc-metro/rg-026/587169/0002/Haida-1946-01/Haida-1946-01-0005.JPG	 			48.65	-146.725		338	360	19	28.94	43	43	44	op	st sc		337.5	10	20		
