YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Ships	Other
1931-01-01	1	23.1	113.24	129				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG				23.1	113.24	129	135	134	2	30.00	64	63		oz	cist	135	10	30	"HMS Tarantula, Seamew"	
1931-01-01	2	23.1	113.24	129				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	129	135	134	2	30.00	64	63		oz	ast	135	10	30		
1931-01-01	3	23.1	113.24	129				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	129	135	134	2	29.99	64	63		oz	ast	135	10	30		
1931-01-01	4	23.1	113.24	129				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	129	135	134	2	29.99	64	63		oz	ast	135	10	30		
1931-01-01	5	23.1	113.24	131				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	131	90	89	1	29.99	64	62		od	cunb	135	10	20		
1931-01-01	6	23.1	113.24	133				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	133	90	89	1	29.99	64	62		od	nb	135	10	20		
1931-01-01	7	23.1	113.24	133				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	133	90	89	1	29.99	64	61		od	nb	135	10	20		
1931-01-01	8	23.1	113.24	133				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	133	90	89	2	29.99	64	61		od	nb	135	10	20		
1931-01-01	9	23.1	113.24	131				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	131	360	359	3	30.01	64	63		or	nb	90	10	8		
1931-01-01	10	23.1	113.24	130				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	130	45	44	2	30.03	64	63		om	nb	90	10	8		
1931-01-01	11	23.1	113.24	130				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	130	68	66	2	30.05	64	63		ocz	nb	90	10	10		
1931-01-01	12	23.1	113.24	131				https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/helena-b12of14/helena-b12of14_0005.JPG	 				23.1	113.24	131	45	44	2	30.07	64	63		ocz	stcu	90	10	12		
