YYYYMMDD	Hour	Lat	Long	 Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course
1879-06-25	1	38 6 35 N	122 16 11 W			 		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/91/9191/6919191/content/arcmedia/dc-metro/rg-024/581208-noaa/jeannette/vol001of004/24-118-jeannette-vol001_012.jpg							
1879-06-25	2	38 6 35 N	122 16 11 W			 		12							
1879-06-25	3	38 6 35 N	122 16 11 W			 		12							
1879-06-25	4	38 6 35 N	122 16 11 W			 		12							
1879-06-25	5	38 6 35 N	122 16 11 W			 		12							
1879-06-25	6	38 6 35 N	122 16 11 W			 		12							
1879-06-25	7	38 6 35 N	122 16 11 W			 		12							
1879-06-25	8	38 6 35 N	122 16 11 W			 		12							
1879-06-25	9	38 6 35 N	122 16 11 W			 		12							
1879-06-25	10	38 6 35 N	122 16 11 W			 		12							
1879-06-25	11	38 6 35 N	122 16 11 W			 		12							
1879-06-25	12	38 6 35 N	122 16 11 W			 		12							
1879-06-25	13	38 6 35 N	122 16 11 W			 		12							
1879-06-25	14	38 6 35 N	122 16 11 W			 		12							
1879-06-25	15	38.06	-122.34	SW		4.4		12							
1879-06-25	16	38.04	-122.43	SW		4.4		12							
1879-06-25	17	38.04	-122.43			0		12							
1879-06-25	18	38.06	-122.28	NE		5.4		12							
1879-06-25	19	38 6 35 N	122 16 11 W	NE		2.7		12							
1879-06-25	20	38 6 35 N	122 16 11 W			 		12							
1879-06-25	21	38 6 35 N	122 16 11 W			 		12							
1879-06-25	22	38 6 35 N	122 16 11 W			 		12							
1879-06-25	23	38 6 35 N	122 16 11 W			 		12							
1879-06-25	24	38 6 35 N	122 16 11 W			 		12							
1879-06-26	1	38 6 35 N	122 16 11 W			 		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/91/9191/6919191/content/arcmedia/dc-metro/rg-024/581208-noaa/jeannette/vol001of004/24-118-jeannette-vol001_012.jpg							
1879-06-26	2	38 6 35 N	122 16 11 W			 		12							
1879-06-26	3	38 6 35 N	122 16 11 W			 		12							
1879-06-26	4	38 6 35 N	122 16 11 W			 		12							
1879-06-26	5	38 6 35 N	122 16 11 W			 		12							
1879-06-26	6	38 6 35 N	122 16 11 W			 		12							
1879-06-26	7	38 6 35 N	122 16 11 W			 		12							
1879-06-26	8	38 6 35 N	122 16 11 W			 		12							
1879-06-26	9	38 6 35 N	122 16 11 W			 		12							
1879-06-26	10	38 6 35 N	122 16 11 W			 		12							
1879-06-26	11	38 6 35 N	122 16 11 W			 		12							
1879-06-26	12	38 6 35 N	122 16 11 W			 		12							
1879-06-26	13	38 6 35 N	122 16 11 W			 		12							
1879-06-26	14	38 6 35 N	122 16 11 W			 		12							
