YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1868-01-16	1	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	2	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	3	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	4	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	5	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	6	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	7	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	8	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	9	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	10	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	11	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
1868-01-16	12	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol06of86/kearsarge-vol06of86_0010.JPG	 			42.375	-71.052																
