YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Baro 2	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1869-01-01	1	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		22.5	38	2	30.1		62	58	58	56	b						
1869-01-01	2	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		22.5	38	2	30.1		62	58	58	56	b		10				
1869-01-01	3	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		315	330	2	30.1		60	55	56	56	b		10				
1869-01-01	4	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		315	330	2	30.1		60	55	56	56	b		10				
1869-01-01	5	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		315	330	2	30.1		64	57	57	57	b		10				
1869-01-01	6	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		0	0	0	30.11		68	68	60	57	b		10				
1869-01-01	7	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		0	0	0	30.11		72	70	68	58	b		10				
1869-01-01	8	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		0	0	0	30.12		74	72	70	58	b		10				
1869-01-01	9	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		0	0	0	30.1		82	80	78	62	b		10				
1869-01-01	10	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		0	0	0	30.07		74	74	70	62	b		10				
1869-01-01	11	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		0	0	0	30.1		68	73	70	62	b		10				
1869-01-01	12	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	"Noon: Valparaiso, Chili."			-33.02	-71.61		0	0	0									10				
1869-01-01	13	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		0	0	0	30.14		74	80	80	61	b		10				
1869-01-01	14	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		247.5	262	0	30.14		74	78	70	61	b		10				
1869-01-01	15	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		247.5	262	0	30.14		74	78	70	61	b		10				
1869-01-01	16	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		247.5	262	0	30.14		74	78	70	61	b		10				
1869-01-01	17	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		270	285		30.1		74	78	80	62	b		10				
1869-01-01	18	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		11.25	26		30		74	81	78	62	b		10				
1869-01-01	19	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		11.25	26		30		74	79	70	62	b		10				
1869-01-01	20	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		45	60		30		71	70	68	62	b		10				
1869-01-01	21	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		45	60		30		70	68	68	62	b		10				
1869-01-01	22	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		45	60		30		70	68	68	62	b		10				
1869-01-01	23	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		45	60		30.02		68	68	68	62	b		10				
1869-01-01	24	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0034.JPG	 			-33.02	-71.61		45	60		30.02		68	68	68	62	b		10				
1869-01-02	1	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	 			-33.02	-71.61		0	0	0	30.06		62	61	62	58	b		10				
1869-01-02	2	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	 			-33.02	-71.61		0	0	0	30.06		62	62	63	58	b		10				
1869-01-02	3	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	 			-33.02	-71.61		0	0	0	30.1		64	62	63	58	b		10				
1869-01-02	4	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	 			-33.02	-71.61		0	0	0	30.1		64	63	64	58	b		10				
1869-01-02	5	-33.02	-71.61			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol11of86/kearsarge-vol11of86_0035.JPG	 			-33.02	-71.61		0	0	0	30.1		64	64	64	60	b		10				
