YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Weather	Clouds	Clear
1873-12-08	1	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	2	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	3	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	4	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	5	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	6	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	7	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	8	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	9	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	10	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	11	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	12	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		Noon: Mare Island Navy Yard															
1873-12-08	13	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	14	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	15	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	16	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	17	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	18	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	19	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	20	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	21	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	22	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	23	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-08	24	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0012.JPG		 															
1873-12-09	1	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	2	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	3	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	4	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	5	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	6	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	7	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	8	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	9	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	10	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	11	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	12	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		Noon: Mare Island Navy Yard															
1873-12-09	13	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	14	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	15	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	16	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 															
1873-12-09	17	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 									29.90	55	54	54	oc	nimb	0
1873-12-09	18	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 									29.90	55	54	54	oc	nimb	0
1873-12-09	19	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 									29.90	55	54	54	oc	nimb	0
1873-12-09	20	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 									29.90	55	54	54	oc	nimb	0
1873-12-09	21	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 									29.90	54	54	54	bc	cum nimb	3
1873-12-09	22	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 									29.90	54	54	54	bc	cum	4
1873-12-09	23	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 									29.90	54	54	54	bc	cum	5
1873-12-09	24	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0013.JPG		 									29.90	54	54	54	bc	cum	3
1873-12-10	1	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						360	16	2	29.90	52	52	51	bc	cir cum	1
1873-12-10	2	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						360	16	2	29.90	52	52	51	bc	cir cum	1
1873-12-10	3	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						360	16	2	29.90	52	52	51	bc	cir cum	1
1873-12-10	4	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						360	16	2	29.90	52	52	51	bc	cir cum	1
1873-12-10	5	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						45	61	3	29.90	52	52	51	bc	cir cum	1
1873-12-10	6	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						45	61	3	29.90	52	52	51	bc	cir cum	2
1873-12-10	7	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						45	61	3	29.91	52	52	51	bc	cir cum	3
1873-12-10	8	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						45	61	3	29.92	52	52	51	bc	cir cum	2
1873-12-10	9	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						45	61	3	29.92	52	53	53	bc	cir cum	3
1873-12-10	10	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						45	61	3	29.94	50	52	52	bc	cir cum	5
1873-12-10	11	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						45	61	3	29.96	50	52	52	bc	cir cum	6
1873-12-10	12	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		Noon: Mare Island Navy Yard						45	61	3	29.96	52	54	54	bc	cir cum	7
1873-12-10	13	38.1	-122.27			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol18of86/kearsarge-vol18of86_0014.JPG		 						135	151	5	29.96	52	54	54	bc	circum	6
