YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear
1876-01-01	1	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.15		47	46		bc	cum	
1876-01-01	2	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.15		47	46		bc	cum	9
1876-01-01	3	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.15		46	45		b		10
1876-01-01	4	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.15		45	44		bc	cum	9
1876-01-01	5	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						45	42	1	30.14		45	44		bcm	cir cum nim	5
1876-01-01	6	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						45	42	1	30.14		45	44		of	cir cum nim	0
1876-01-01	7	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						45	42	1	30.14		46	45		of	cir cum nim	0
1876-01-01	8	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						45	42	1	30.14		46	45		of	cir cum nim	0
1876-01-01	9	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.16		47	46		bcm	cir cum	6
1876-01-01	10	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						348.75	346	2	30.15		48	47		bcm	cir cum	4
1876-01-01	11	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						348.75	346	2	30.13		50	49		bcm	cir cum	3
1876-01-01	12	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	"Noon: Nagasaki, Japan"						45	42	2	30.12		52	51		bc	cir cum	4
1876-01-01	13	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						360	357	2	30.10		53	52		c	str	2
1876-01-01	14	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						360	357	2	30.10		53	52		c	str	2
1876-01-01	15	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						360	357	2	30.10		53	52		c	str	2
1876-01-01	16	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						360	357	2	30.10		53	52		c	str	2
1876-01-01	17	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						112.5	110	2	30.10		54	53		bc	cum	3
1876-01-01	18	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.10		53	52		bc	cum	2
1876-01-01	19	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.10		54	53		bc	cum	3
1876-01-01	20	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.10		55	54		bc	cum	2
1876-01-01	21	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.12		54	52		oc	cum	0
1876-01-01	22	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.12		54	52		oc	cum	0
1876-01-01	23	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.12		54	52		oc	cum	0
1876-01-01	24	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0012.JPG	 						0	0	0	30.12		54	52		oc	cum	0
1876-01-02	1	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0013.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0013.JPG	 						0	0	0	30.10		54	53		bcm	cum str	4
1876-01-02	2	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0013.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0013.JPG	 						0	0	0	30.11		52	51		bcm	cum str	2
1876-01-02	3	32.74	129.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0013.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol23of86/kearsarge-vol23of86_0013.JPG	 						315	312	1	30.13		52	51		bcm	cum str	2
