YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Other
1877-01-01	1	22.29	114.17		a	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						90	90	5	30.16		64.00	63		bc	cir cum		
1877-01-01	2	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						90	90	5	30.16		64.00	63		bc	cir cum	9	
1877-01-01	3	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						112	112	5	30.14		64.00	63		bc	cir cum	9	
1877-01-01	4	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						112	112	5	30.14		64.00	63		bc	cir cum	9	
1877-01-01	5	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						112	112	5	30.14		63.00	62		bc	cir cum	9	
1877-01-01	6	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						112	112	5	30.14		63.00	62		bc	cir cum	9	
1877-01-01	7	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						112	112	2	30.16		63.00	62		bc	cir cum	9	
1877-01-01	8	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						0	0	0	30.15		65.00	64		b		10	
1877-01-01	9	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						0	0	0	30.20		68.00	67		b		10	
1877-01-01	10	22.29	114.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol27of86/kearsarge-vol27of86_0012.JPG	 						0	0	0	30.20		68.00	67		b		10	
