YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1880-01-01	1	16.39	-87.81	23		5.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					nne	68	73	25	30.14	79	79	74	80	bcpq	cum nimb	1				
1880-01-01	2	16.49	-87.77	23		6.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					nne	90	95	10	30.13	78	76	73	80	bcq	cum nimb	3				
1880-01-01	3	16.59	-87.73	23		6.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	0330: NE1/2E					nne	90	95	13	30.12	77	76	73	80	bcpq	cum nimb	2				
1880-01-01	4	16.65	-87.66	51		5.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					ne1/2e	90	95	8	30.11	78	78	73	80	bcp	cum nimb	3				
1880-01-01	5	16.70	-87.60	51		4.9		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	0545: NbW					ne1/2e	56	61	6	30.11	78	78	73	80	bcpq	cum nimb	4				
1880-01-01	6	16.76	-87.55	40		4.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					nbw	56	61	9	30.12	78	78	73	80	bcpq	cum nimb	4				
1880-01-01	7	16.87	-87.58	349		6.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	0700: Made land. Light House on Half Moon Cay brg NNW.					nbw	56	61	12	30.14	78	78	74	80	bcpq	cum nimb	4				
1880-01-01	8	17.00	-87.60	349		7.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					nbw	56	61	16	30.15	78	78	74	80	bc	cum nimb	6				
1880-01-01	9	17.14	-87.65	342		8.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					w1/2n	56	61	19	30.18	79	79	74	81	bc	cum nimb	4				
1880-01-01	10	17.09	-87.76	232		6.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					"swbs, w"	79	84	13	30.19	80	80	76	81	bc	cum nimb	4				
1880-01-01	11	17.10	-87.94	270		9.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					"swbs, w"	158	163	10	30.19	80	80	76	81	bc	cum nimb	3				
1880-01-01	12	17.13	-88.00	294		3.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	1200: At end of watch Bokel Key on starboard quarter.					nwbw	135	140	8	30.18	80	79	75	81	bc	"cum nimb, strat cir"	4				
1880-01-01	13	17.26	-88.07	332		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					nnw1/2w	135	140	10	30.14	80	78	74		bcp	cum nimb	3				
1880-01-01	14	17.39	-88.12	338		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 					nnw	135	140	8	30.14	78	76	74		bcp	cum nimb	4				
1880-01-01	15	17.47	-88.20	315		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	"1500: Anchored. Anchored off Balize, British Honduras. Brgs: Potts Point NbW, Middle Ground Buoy NE5/8E."					nw	90	95	5	30.16	78	77	74		bc	cum nimb	3				
1880-01-01	16	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						11	16	5	30.13	78	77	75		bc	cum nimb	1				
1880-01-01	17	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						11	16	5	30.12	78	77	74		bcp	cum nimb	1				
1880-01-01	18	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						11	16	5	30.11	78	77	74		bcp	cum nimb	1				
1880-01-01	19	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						45	50	3	30.13	79	78	74		bcp	cum nimb	3				
1880-01-01	20	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						45	50	3	30.16	79	78	74		bcp	cum nimb	1				
1880-01-01	21	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						45	50	8	30.17	79	78	74		bc	cir cum	8				
1880-01-01	22	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						45	50	8	30.17	79	78	74		bc	cir cum	9				
1880-01-01	23	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						45	50	13	30.17	79	78	74		bc	cir cum	7				
1880-01-01	24	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0042.JPG	 						45	50	13	30.17	79	78	74		bc	cir cum	6				
1880-01-02	1	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						45	50	8	30.18	78	78	74		bc	cum	3				
1880-01-02	2	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						45	50	8	30.16	79	78	74		bc	cum	4				
1880-01-02	3	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						45	50	10	30.15	77	78	74		bc	cum	3				
1880-01-02	4	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						90	95	8	30.14	79	78	74		bc	cum	3				
1880-01-02	5	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						45	50	3	30.14	79	78	74		bc	cum	1				
1880-01-02	6	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						45	50	5	30.16	79	78	74		bc	cum	2				
1880-01-02	7	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						45	50	5	30.17	78	76	73		bc	cum nimb	2				
1880-01-02	8	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						34	39	6	30.18	77	76	73		bc	cum nimb	1				
1880-01-02	9	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						34	39	6	30.18	77	76	73		bcp	cum nimb	2				
1880-01-02	10	17.47	-88.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol34of86/kearsarge-vol34of86_0043.JPG	 						45	50	9	30.19	78	77	74		bcp	cum nimb	2				
