YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Ships	Other
1882-01-01	1	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						248	254	5	30.02	57	56	52		b		10		
1882-01-01	2	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						248	254	5	30.04	56	55	50		bc	cum str	8		
1882-01-01	3	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						248	254	5	30.05	55	55	50		bc	cum str	7		
1882-01-01	4	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						248	254	5	30.05	55	55	49		bc	cum str	7		
1882-01-01	5	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	13	30.07	55	55	48		bc	cum str	9		
1882-01-01	6	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	24	30.11	54	54	48		bc	cum str	5		
1882-01-01	7	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						360	6	13	30.15	53	50	44		bc	cir	5		
1882-01-01	8	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						360	6	16	30.21	55	49	44		bc	cir	8		
1882-01-01	9	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						360	6	10	30.25	54	50	43		bz		10		
1882-01-01	10	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						360	6	10	30.27	52	51	45		bz		10		
1882-01-01	11	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	10	30.26	51	51	44		bz		10		
1882-01-01	12	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	"Noon: New Orleans, Louisiana"						326	332	10	30.24	50	51	44		bz		10		
1882-01-01	13	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	8	30.25	53	54	45		bz		10		
1882-01-01	14	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	6	30.25	52	56	46		bcz	cir	8		
1882-01-01	15	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	8	30.24	57	55	46		bcz	cir	5		
1882-01-01	16	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	8	30.25	54	54	45		bc	cir	8		
1882-01-01	17	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						349	355	8	30.23	56	54	46		bcz	str cum	8		
