YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other
1891-01-01	1	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						135	132	2	30.01	51	48	44		oc	ni	0			
1891-01-01	2	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						135	132	2	30.03	51	46	44		oc	ni	0			
1891-01-01	3	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						135	132	2	30.02	52	47	45		oc	ni	0			
1891-01-01	4	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						135	132	3	30.00	51	47	45		oc	ni	0			
1891-01-01	5	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						135	132	2	30.00	52	48	46		oc	ni	0			
1891-01-01	6	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						135	132	2	30.00	54	48	46		ocr	ni	0			
1891-01-01	7	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						135	132		29.98	56	48	46		ocr	ni	0			
1891-01-01	8	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						135	132		29.99	51	49	46		ocr	ni	0			
1891-01-01	9	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						191	188		30.00	51	49	46		oc	ni	0			
1891-01-01	10	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						202	200		29.99	52	50	47		oc	ni	0			
1891-01-01	11	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						202	200		29.98	52	50	48		oc	ni	0			
1891-01-01	12	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	Noon: Norfolk VA						202	200		29.94	52	51	48		ocr	ni	0			
1891-01-01	13	36.86	-76.31		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	1320: Got underway.						202	200	5	29.90	52	50	49		ocr	ni	0			
1891-01-01	14	36.85	-76.30	888	 	1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	1430: Anchored. Norfolk Navy Yard.						180	177	5	29.88	52	52	50		ocr	ni	0			
1891-01-01	15	36.83	-76.29	888	 	2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						180	177	5	29.86	54	51	49		ocr	ni	0			
1891-01-01	16	36.82	-76.29	888	 	1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						180	177	5	29.86	53	51	49		oc	ni	0			
1891-01-01	17	36.82	-76.29		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						180	177	5	29.85	55	53	50		oc	ni	0			
1891-01-01	18	36.82	-76.29		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						180	177	5	29.85	57	53	50		oc	ni	0			
1891-01-01	19	36.82	-76.29		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						180	177	8	29.85	57	53	50		oc	ni	0			
1891-01-01	20	36.82	-76.29		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						180	177	13	29.84	58	55	52		ocq	ni	0			
1891-01-01	21	36.82	-76.29		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						191	188	13	29.83	59	55	53		ocq	ni	0			
1891-01-01	22	36.82	-76.29		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						191	188	16	29.78	59	57	54		ocq	ni	0			
1891-01-01	23	36.82	-76.29		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol58of86/kearsarge-vol58of86_0048.JPG	 						191	188	16	29.74	59	57	54		bcq	ni	3			
