YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	Other
1867-01-01	1	-27.77	-79.44	270		8.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w	191	206	24	29.12	65	65	72	60	bc	cum	1		
1867-01-01	2	-27.74	-79.57	270		7.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w	191	206	19	29.12	64	64	72	64	bc	cum	0		
1867-01-01	3	-27.70	-79.72	270		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w	191	206	19	29.12	64	64	72	64	bc	cum	0		
1867-01-01	4	-27.67	-79.86	270		7.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w	191	206	19	29.12	64	64	72	64	bc	cum	0		
1867-01-01	5	-27.63	-79.99	270		7.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	"0500: lookout at masthead reported land bearing NWbyW1/2W, which was soon after shut in by the clouds, and was not seen again."					w	135	150	19	29.13	65	65	73	64	o	cu str	0		
1867-01-01	6	-27.60	-80.13	270		7.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w	135	150	19	29.14	65	65	73	65	o	cu str	1		
1867-01-01	7	-27.56	-80.26	270		7.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w	135	150	19	29.16	65	65	74	65	o	cu str	1		
1867-01-01	8	-27.53	-80.40	270		7.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w	135	150	19	29.16	65	66	74	65	o	cu str	1		
1867-01-01	9	-27.48	-80.51	278.44		6.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w3/4n	169	184	8	29.17	67	66	75	65	o	cu str	2		
1867-01-01	10	-27.45	-80.60	278.44		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-006/581208-lackawanna-006-059.JPG	 					w3/4n	169	184	8	29.18	67	66	75	65	bc	cu str	3		
