YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Merc Baro	Alt Baro Notes	Aneroid Baro	Aneroid - Merc	Baro Orig	Merc Only
1873-01-01	1	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	"There are many problems with the baro readings.  On Mar 15 2000, he changes to the aneroid barometer."						360	2	2	29.66	68	68			b	none	10							29.66	29.66
1873-01-01	2	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	On August 24 at 1300 he switched back to the mercury barometer.						360	2	2	29.66	68	68			b	none	10							29.66	29.66
1873-01-01	3	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	"While using the aneroid barometer, he records the mercury barometer readings at the end of each"						360	2	1	29.66	68	68			b	none	10							29.66	29.66
1873-01-01	4	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	"watch in the Event area. When he switches back to the mercury barometer, he records the aneroid"						360	2	1	29.66	68	68			b	none	10							29.66	29.66
1873-01-01	5	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	values at the end of each watch in the Event area until September 27.						315	317	2	29.67	67	66			b	none	10							29.67	29.67
1873-01-01	6	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	I transcribed the mercury and aneroid values from the Event areas into their own columns.						315	317	2	29.67	66	66			b	none	10							29.67	29.67
1873-01-01	7	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	"the original baro column was a mix of the two barometers, so I chose to save those values in the"						315	317	2	29.72	66	66			b	none	10							29.72	29.72
1873-01-01	8	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	"Baro Orig column, and I replaced the aneroid values in the Baro column with the mercury baro"						315	317	2	29.75	66	66			b	none	10							29.75	29.75
1873-01-01	9	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	values. At least all the values in the baro column are from a mercury barometer. Feel free to replace						0	0	0	29.75	67	67			b	none	10							29.75	29.75
1873-01-01	10	22.56	88.34			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lackawanna-013/581208-lackawanna-013-059.JPG	them with the Baro Orig values.						0	0	0	29.75	68	68			b	none	10							29.75	29.75
