YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	Dir	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1882-01-01	1	-25.33	-72.21	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	169	13	30.03	69	66	65	66	o	Cum	0				
1882-01-01	2	-25.42	-72.20	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	169	13	30.03	68	66	65	66	o	Cum	0				
1882-01-01	3	-25.52	-72.20	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	169	13	30.02	68	66	65	66	o	Cum	0				
1882-01-01	4	-25.62	-72.19	163.12		6.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	169	13	30.02	68	66	65	65	bc	Cum	8				
1882-01-01	5	-25.72	-72.19	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	169	13	30.03	68	67	65	65	oc	Cir Cum	0				
1882-01-01	6	-25.82	-72.18	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	180	13	30.05	68	67	65	64	bc	Cir Cum	5				
1882-01-01	7	-25.92	-72.18	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	180	13	30.05	68	68	66	64	bc	Cir Cum	7				
1882-01-01	8	-26.01	-72.17	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	191	13	30.05	69	68	66	64	bc	Cir Cum	4				
1882-01-01	9	-26.11	-72.17	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	191	13	30.05	69	67	66	64	bc	Cir Cum	5				
1882-01-01	10	-26.21	-72.16	163.12		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-035/581208-lackawanna-035-027.JPG	 					SxE 1/2 E	191	13	30.05	69	69	67	64	bc	Cir Cum	5				
