YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	Dir	Force	Baro	Dry	Water	Weather	Ships	Other
1859-05-12	1	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-001/581208-lancaster-001-003.JPG		 													
1859-05-12	2	39.89	-75.18			a		3		 													
1859-05-12	3	39.89	-75.18			a		3		 													
1859-05-12	4	39.89	-75.18			a		3		 													
1859-05-12	5	39.89	-75.18			a		3		 													
1859-05-12	6	39.89	-75.18			a		3		 													
1859-05-12	7	39.89	-75.18			a		3		 													
1859-05-12	8	39.89	-75.18			a		3		 													
1859-05-12	9	39.89	-75.18			a		3		 													
1859-05-12	10	39.89	-75.18			a		3		 													
1859-05-12	11	39.89	-75.18			a		3		 													
1859-05-12	12	39.89	-75.18			a		3		Noon: Philadelphia Navy Yard.													
1859-05-12	13	39.89	-75.18			a		3		 													
1859-05-12	14	39.89	-75.18			a		3		 													
1859-05-12	15	39.89	-75.18			a		3		 													
1859-05-12	16	39.89	-75.18			a		3		 													
1859-05-12	17	39.89	-75.18			a		3		 													1730: The USS Lancaster was put into commission.
1859-05-12	18	39.89	-75.18			a		3		 													
1859-05-12	19	39.89	-75.18			a		3		 													
1859-05-12	20	39.89	-75.18			a		3		 													
1859-05-12	21	39.89	-75.18			a		3		 						e	2				b		
1859-05-12	22	39.89	-75.18			a		3		 													
1859-05-12	23	39.89	-75.18			a		3		 													
1859-05-12	24	39.89	-75.18			a		3		 													
1859-05-13	1	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-001/581208-lancaster-001-003.JPG		 						v	1				bc		
1859-05-13	2	39.89	-75.18			a		3		 													
1859-05-13	3	39.89	-75.18			a		3		 													
1859-05-13	4	39.89	-75.18			a		3		 													
1859-05-13	5	39.89	-75.18			a		3		 						n	1				b		
1859-05-13	6	39.89	-75.18			a		3		 													
1859-05-13	7	39.89	-75.18			a		3		 													
1859-05-13	8	39.89	-75.18			a		3		 													
1859-05-13	9	39.89	-75.18			a		3		 						ne	2				bc		
1859-05-13	10	39.89	-75.18			a		3		 													
1859-05-13	11	39.89	-75.18			a		3		 													
1859-05-13	12	39.89	-75.18			a		3		Noon: Philadelphia Navy Yard.													
1859-05-13	13	39.89	-75.18			a		3		 						s	2				bc		
1859-05-13	14	39.89	-75.18			a		3		 													
1859-05-13	15	39.89	-75.18			a		3		 													
1859-05-13	16	39.89	-75.18			a		3		 													
1859-05-13	17	39.89	-75.18			a		3		 						se	2				bm		
1859-05-13	18	39.89	-75.18			a		3		 													
1859-05-13	19	39.89	-75.18			a		3		 													
1859-05-13	20	39.89	-75.18			a		3		 													
1859-05-13	21	39.89	-75.18			a		3		 						c	0				bc		
1859-05-13	22	39.89	-75.18			a		3		 													
1859-05-13	23	39.89	-75.18			a		3		 													
1859-05-13	24	39.89	-75.18			a		3		 													
1859-05-14	1	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-001/581208-lancaster-001-004.JPG		 						ne	1				bc		
1859-05-14	2	39.89	-75.18			a		4		 													
1859-05-14	3	39.89	-75.18			a		4		 													
1859-05-14	4	39.89	-75.18			a		4		 													
1859-05-14	5	39.89	-75.18			a		4		 						c	0				m		
1859-05-14	6	39.89	-75.18			a		4		 													
1859-05-14	7	39.89	-75.18			a		4		 													
1859-05-14	8	39.89	-75.18			a		4		 													
1859-05-14	9	39.89	-75.18			a		4		 						ne	4				c		
1859-05-14	10	39.89	-75.18			a		4		 													
1859-05-14	11	39.89	-75.18			a		4		 													
1859-05-14	12	39.89	-75.18			a		4		Noon: Philadelphia Navy Yard.													
1859-05-14	13	39.89	-75.18			a		4		 						nne	3				bc		
1859-05-14	14	39.89	-75.18			a		4		 													
1859-05-14	15	39.89	-75.18			a		4		 													
1859-05-14	16	39.89	-75.18			a		4		 													
1859-05-14	17	39.89	-75.18			a		4		 						ne	2				c		
1859-05-14	18	39.89	-75.18			a		4		 													
1859-05-14	19	39.89	-75.18			a		4		 													
1859-05-14	20	39.89	-75.18			a		4		 													
1859-05-14	21	39.89	-75.18			a		4		 						ne	3				bc		
1859-05-14	22	39.89	-75.18			a		4		 													
1859-05-14	23	39.89	-75.18			a		4		 													
1859-05-14	24	39.89	-75.18			a		4		 													
1859-05-15	1	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-001/581208-lancaster-001-004.JPG		 						n	1				b		
1859-05-15	2	39.89	-75.18			a		4		 													
1859-05-15	3	39.89	-75.18			a		4		 													
1859-05-15	4	39.89	-75.18			a		4		 													
1859-05-15	5	39.89	-75.18			a		4		 						n	2				b		
