YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Ships	Other		
1881-08-26	1	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	2	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	3	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	4	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	5	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	6	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	7	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	8	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	9	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	10	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 																				
1881-08-26	11	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	1100: Ship was put in commission																				
1881-08-26	12	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	1200: Barometer 1440 made by Geo. Green was fitted. Noon: Portsmouth NH																				
1881-08-26	13	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						180	168	3	30.26	78	77	69		bmc	cu					
1881-08-26	14	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						180	168	3	30.26	78	77	69		dac	cu					
1881-08-26	15	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						203	191	3	30.25	78	77	69		dac	cu					
1881-08-26	16	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						203	191	2	30.25	77	76	68		dac	cu					
1881-08-26	17	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						180	168	2	30.25	76	75	68		dac	Cu + ci st					
1881-08-26	18	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						180	168	2	30.22	74	73	68		dac	Cu + ci st					
1881-08-26	19	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						180	168	2	30.22	73	72	68		dac	Cu + ci st					
1881-08-26	20	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	2000: Aneroid and Mercurial barometers not ready for use.						203	191	2	30.21	70	72	68		dac	Cu + ci st					
1881-08-26	21	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						888	888	1	30.21	68	71	67		bmc	cu st					
1881-08-26	22	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						888	888	1	30.21	67	69	66		bmc	cu st					
1881-08-26	23	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						180	168	1	30.21	67	68	66		bmc	cu st					
1881-08-26	24	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-011.JPG	 						180	168	1	30.21	66	68	66		cm	cu st					
1881-08-27	1	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						0	0	0	30.21	66	68	65		bcm	cu st	8				
1881-08-27	2	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						0	0	0	30.21	66	68	65		bcm	cu st	8				
1881-08-27	3	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						0	0	0	30.21	65	68	65		bcm	cu st	8				
1881-08-27	4	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						0	0	0	30.21	64	67	65		bcm	cu st	8				
1881-08-27	5	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						315	303	2	30.22	65	66	63		bcm	cu st	8				
1881-08-27	6	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						338	326	2	30.25	66	67	64		bcm	cu st	9				
1881-08-27	7	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						338	326	2	30.25	76	67	64		bm	cu st	9				
1881-08-27	8	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						338	326	2	30.26	72	68	66		bm	cu st	9				
1881-08-27	9	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						180	168	2	30.25	72	72	66		bm	cu st	9				
1881-08-27	10	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						180	168	2	30.25	72	72	66		bm	cu st	9				
1881-08-27	11	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						180	168	2	30.25	72	72	66		bm	cu st	9				
1881-08-27	12	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	Noon: Portsmouth NH						180	168	2	30.25	72	72	67		bm	cu st	9				
1881-08-27	13	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-lancaster-033/581208-lancaster-033-012.JPG	 						180	168	2	30.25	74	73	68		bm	cu st	9				
