YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	Flora&Fauna	People	Ships
1900-06-03	1	48.75	-122.5			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	 			48.75	-122.5		158	182	2	29.95	54	54		bc	cicu	3			
1900-06-03	2	48.75	-122.5			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	 			48.75	-122.5		158	182	5	29.95	53	53		bc	cicu	3			
1900-06-03	3	48.75	-122.5			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	 			48.75	-122.5		158	182	5	29.95	53	53		bc	cicu	3			
1900-06-03	4	48.75	-122.5			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	 			48.75	-122.5		158	182	5	29.95	53	53	51	bc	cicu	3			
1900-06-03	5	48.75	-122.5			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	0550: Underway			48.75	-122.5		135	159	5	29.96	53	53		oc	cu	7			
1900-06-03	6	48.74	-122.52	888		1.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	0612: cc S1/2E. 0641: Eliza Rock cc SSW. 0650 Viti Rocks cc NNW			48.7405	-122.516	v	135	159	19	29.95	52	55		oc	cu	7			
1900-06-03	7	48.65	-122.67	888		9.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	 			48.65	-122.67	v	135	159	8	29.99	52	52		oc	cu	7			
1900-06-03	8	48.77	-122.8	337.5		10.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	0812: Sucia Island cc WNW3/4W			48.77	-122.8	nnw	135	159	8	29.99	64	54	50	oc	as	8			
1900-06-03	9	48.87	-123.04	294		10.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	0945: Georgina Pt			48.8695	-123.038	294	135	159	8	30.00	62	61		oc	as	9			
1900-06-03	10	48.95	-123.31	284.06		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	1030: N Sand Head Beacon cc W3/4N			48.95	-123.31	wnw3/4w	135	159	5	30.03	62	60		ocr	n	9			
1900-06-03	11	49.08	-123.48	278.44		10.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	1100: cc W. 1155 Gabriola Reef Beacon cc W1/2S			49.0811	-123.481	w3/4n	90	114	2	30.04	59	58		ocr	n	9			
1900-06-03	12	49.17	-123.66	264.38		9.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/31/4017/24401731/content/dc-metro/rg-026/585454/0001-A1/Manning-1900/Manning-1900_0646.JPG	Noon: Off Gabriola Reef Beacon. 1240 Entrance Id Lt abm.			49.17	-123.66	w1/2s	90	114	5	30.03	57	57	50	ocr	n	10			
