YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	From	Amount	Ships
1902-05-27	1	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	 			48.11	-122.76														
1902-05-27	2	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	 			48.11	-122.76														
1902-05-27	3	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	 			48.11	-122.76														
1902-05-27	4	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	 			48.11	-122.76		45	69	8	29.88	56				bc	cus		6	
1902-05-27	5	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	0515: Got Underway			48.11	-122.76														
1902-05-27	6	48.2	-122.83	v		5.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	6:20 Partridge Pt bell buoy abeam			48.198	-122.83	v	315	339	8	29.90	66	59	58		bc	cus	90	8	
1902-05-27	7	48.36	-122.75	v		10.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	7:45 Bell Rock bell buoy abm			48.3601	-122.754	v	315	339	5										
1902-05-27	8	48.53	-122.75	v		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	 			48.53	-122.75	v	315	339	5	29.91	67	56	56		bc	cus	180	8	
1902-05-27	9	48.72	-122.75	v		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	0915: W 7/8 N			48.72	-122.75	v	135	159	5										
1902-05-27	10	48.85	-122.91	W 7/8 N		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	1000: Patos Island Light abeam			48.85	-122.91	W 7/8 N	135	159	5	29.92	69	58	57		bc	cus	180	9	
1902-05-27	11	48.92	-123.1	W 7/8 N		10.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	1115: Georgina Point abeam			48.92	-123.1	W 7/8 N	135	159	5										
1902-05-27	12	49.06	-123.29	W 7/8 N		10.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	"1244: N 1/4 S Noon: Sand Head Light House NNW, 3 miles"			49.06	-123.29	W 7/8 N	135	159	5	29.95	72	60	59		bc	cus	180	8	
1902-05-27	13	49.2	-123.43	298		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	1325: Gabriela Reef			49.2027	-123.433	298	888	888	0										
1902-05-27	14	49.25	-123.7	WxS 1/2 S		10.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	1408: Entrance Island			49.2509	-123.697	WxS 1/2 S	888	888	13	29.93	75	64	63		cz	cus	90	10	
1902-05-27	15	49.3	-123.99	WxS 1/2 S		11.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	1529: Ballinas Island			49.3012	-123.986	WxS 1/2 S	888	888	13										
1902-05-27	16	49.37	-124.28	wxs		11.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	 			49.3706	-124.278	wxs	225	249	19	29.93	71	58	58		c	cun	180	9	
1902-05-27	17	49.44	-124.57	wxs		11.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	1735: Yellow Island			49.44	-124.57	wxs	225	249	13										
1902-05-27	18	49.53	-124.83	v		11.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/4030/24403002/content/dc-metro/rg-026/585454/0001-A1/Manning-1902/Manning-1902_0261.JPG	"1835: Made fast to buoy off Union Wharf, B.C."			49.53	-124.83	v	225	249	8	29.89	64	60	57		bc	cus	180	8	
