YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Weather	Clouds	Amount	Ships
1903-05-28	1	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	 			48.11	-122.76												
1903-05-28	2	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	 			48.11	-122.76												
1903-05-28	3	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	 			48.11	-122.76												
1903-05-28	4	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	"0400: Port Townsend, Washington"			48.11	-122.76		135	159	5	30.11		49		bc			
1903-05-28	5	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	 			48.11	-122.76												
1903-05-28	6	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	0600: Got Underway 0620: Point Wilson			48.11	-122.76												
1903-05-28	7	48.28	-122.79	360		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	0715: Smith's Island Lighthouse abeam 0750: Davidson Rock Buoy			48.275	-122.79	n											
1903-05-28	8	48.44	-122.76	360		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	0825: Bird Rock Buoy			48.44	-122.76	n	135	159	2	30.11		50		bc			
1903-05-28	9	48.56	-122.74	360		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	0945: Point Lawrence Lighthouse			48.5644	-122.74	n											
1903-05-28	10	48.69	-122.73	360		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/4034/24403437/content/dc-metro/rg-026/585454/0001-A1/Manning-1903/Manning-1903_0209.JPG	1020: WxN			48.6888	-122.73	n											
