YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	Amount	Flora&Fauna	People	Ships	Other
1914-05-01	1	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0160.JPG	 			47.629	-122.38														
1914-05-01	2	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.629	-122.38														
1914-05-01	3	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.629	-122.38														
1914-05-01	4	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.629	-122.38		315	339	2	30.21	53	50	bc	CiCu	1				
1914-05-01	5	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.629	-122.38														
1914-05-01	6	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.629	-122.38														
1914-05-01	7	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.629	-122.38														
1914-05-01	8	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.629	-122.38		0	0	0	30.22	50	51	of	s	10		"8AM to Meridian: Reenlisted W. H. O'Farrel as Electrician 1st class.  Enlisted A. B. Cater as 2nd class boy, on probation, Frederick Holt as ordinary seaman and Charles F. Wilson, as ordinary seaman.  Rated G. Krivokopich from fireman to acting water tender, M. Fehmy from coal heaver to fireman, D. Covalaris from coal heaver to fireman, J. Ruiter from coal heaver to fireman, A. Lundehaug from ordinary seaman to seaman, Roy Herbert from 2nd class boy to ordinary seaman, A. Gaudier from coal heaver to bugler on probation, E. W. Constedt from ordinary seaman to seaman, F. J. Hoose, from ordinary seaman to seaman, and Hugo Dierks from ordinary seaman to seaman."		
1914-05-01	9	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	"9:00AM: underway, steering various courses"			47.63	-122.38		0	0	0	30.20	50	51	ocf	s	10			9:00AM: followed the !Tahoma! down the Sound keeping a 400 yard interval between ships	
1914-05-01	10	47.74	-122.45	888		7.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.741	-122.449	v	315	339	2	30.19	59	57	ocf	s	10				
1914-05-01	11	47.87	-122.47	888		9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			47.872	-122.47	v	315	339	2	30.18	59	57	ocf	s	10				
1914-05-01	12	48.01	-122.62	888		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			48 0 30 N	122 37W	v	315	339	5	30.18	59	57	bc	scu	5		"Meridian to 4PM: H. Darrow, coxswain, and E. W. Constedt, seaman confined in irons as they were found to be so intoxicated as to be a menace while in that condition; Constedt jumped overboard from a boat, and was confined in the brig, by order of the commanding officer."		
1914-05-01	13	48.11	-122.73	888		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	"1:07PM: Stood to anchroage off Port Townsend, Washington in company with !Tahoma!, anchoring at 1:07"			48.11	-122.73	v	315	339	2	30.18	59	57	bc	scu	5			"1:00PM: !Tahoma! signalled !KY!, - anchor as convenient"	
1914-05-01	14	48.11	-122.76	888		1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			48.11	-122.76	v	315	339	2	30.17	60	59	bc	scu	5				
1914-05-01	15	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	"3PM: 3:10  underway and stood out of harbor following !Tahoma! 3:39  Point Wilson Lighthouse abeam.  Watch ends approaching Point Partridge Bell Buoy, following !Tahoma!"			48.11	-122.76													"3:05PM: !Tahoma! signalled !NCS, - follow me!"	
1914-05-01	16	48.26	-122.83	888		8.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	"4PM: Stood through Rosario Straits and into Georgia Straits on various courses, following the !Tahoma!"			48.257	-122.832	v	281	305	2	30.15	61	59	bc	cu	2		"4:10PM: released E. Constedt, sea., and H. Darrow, coxswain from irons on promise of good behavior, they being sober."		
1914-05-01	17	48.39	-122.76	888		8.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			48.39	-122.76	v	281	305	2	30.14	60	53	c	cicu	4				
1914-05-01	18	48.53	-122.75	888		8.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			48.53	-122.75	v	281	305	2	30.11	59	53	c	cicu	5				
1914-05-01	19	48.67	-122.71	285.47		8.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	"7:40PM: light ~ SxW1/2W, dist 1.5, set course WNW5/8W up Georgia Straits following Tahoma 7:40PM: Entry began on previous page with, !Matia Island! 7:40PM: Matia Island 7:40PM: The entry at 7:40PM was started on this page and will presumably continue on the next page."			48.665	-122.71	WNW5/8W	888	888	2	30.10	56	53	c	cicu	6				
1914-05-01	20	48.79	-122.88	285.47		9.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	8:00PM: course WNW3/4W.  Standing up through the Strait of Georgia on course WNW3/4W following the !Tahoma!.  Watch ends off Thatcher Rock Light.			48 47 40 N	122 52 30 W	WNW5/8W	270	294	2	30.10	56	55	bc	cicu	6				
1914-05-01	21	48.89	-123.05	285.47		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			48.891	-123.049	WNW5/8W	270	294	2	30.10	56	54	bc	cicu	6				
1914-05-01	22	48.99	-123.23	285.47		9.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			48.991	-123.232	WNW5/8W	270	294	2	30.12	55	54	bc	cicu	4				
1914-05-01	23	49.08	-123.4	285.47		8.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	 			49.083	-123.399	WNW5/8W	270	294	5	30.12	54	53	bc	cicu	4				
1914-05-01	24	49.17	-123.57	285.47		8.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4076/24407615/content/dc-metro/rg-026/585454/0001-A1/Manning-1914/Manning-1914_0159.JPG	Mid to 8AM: Stood various courses up Georgia Strait for Baynes Sound			49.173	-123.565	WNW5/8W	270	294	5	30.12	54	53	bc	cicu	5			Mid to 8AM: following !Tahoma!	
